Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,2,1,1,3,0,3,1,1,2,1,4,4
0,1,3,2,2,1,1,0,0,1,0,1,0,1,1,1,1,0,2,0,1,2,1,1,3,0,0,1,1,2,2,4,4
0,2,3,2,2,1,2,0,3,1,0,1,0,3,3,1,1,0,2,0,1,0,1,3,1,0,0,1,1,2,2,4,4
0,3,3,2,2,1,2,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,1,0,2,1,1,2,1,4,4
0,4,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,1,0,2,0,1,2,1,4,4
0,5,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,6,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,7,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,8,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,9,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,10,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,11,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,12,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,13,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
