Agent,Plan,LocalCost,ComplexCost
0,9,9.0000,6.6590
1,5,5.0000,6.6590
2,2,2.0000,6.6590
3,4,4.0000,6.6590
4,8,8.0000,6.6590
5,7,7.0000,6.6590
6,6,6.0000,6.6590
7,9,9.0000,6.6590
8,0,0.0000,6.6590
9,1,1.0000,6.6590
10,4,4.0000,6.6590
11,8,8.0000,6.6590
12,8,8.0000,6.6590
13,0,0.0000,6.6341
14,1,1.0000,6.6590
15,3,3.0000,6.6590
16,7,7.0000,6.6590
17,2,2.0000,6.6590
18,1,1.0000,6.5862
19,7,7.0000,6.6590
20,8,8.0000,6.6590
21,7,7.0000,6.6590
22,4,4.0000,6.6590
23,5,5.0000,6.6590
24,4,4.0000,6.6590
25,4,4.0000,6.6590
26,1,1.0000,6.6590
27,6,6.0000,6.6590
28,2,2.0000,6.6590
29,8,8.0000,6.6590
30,3,3.0000,6.6590
31,5,5.0000,6.6590
32,4,4.0000,6.6590
33,8,8.0000,6.6590
34,0,0.0000,6.6590
35,6,6.0000,6.6590
36,8,8.0000,6.6590
37,7,7.0000,6.6590
38,0,0.0000,6.6341
39,6,6.0000,6.6590
40,3,3.0000,6.6590
41,2,2.0000,6.5862
42,0,0.0000,6.6590
43,2,2.0000,6.6590
44,4,4.0000,6.6590
45,6,6.0000,6.6590
46,3,3.0000,6.6590
47,4,4.0000,6.6590
48,0,0.0000,6.6590
49,1,1.0000,6.6590
50,2,2.0000,6.6590
51,1,1.0000,6.6341
52,1,1.0000,6.5862
53,5,5.0000,6.6590
54,2,2.0000,6.6590
55,9,9.0000,6.6590
56,6,6.0000,6.6590
57,1,1.0000,6.6341
58,8,8.0000,6.5862
59,5,5.0000,6.6590
60,6,6.0000,6.6341
61,0,0.0000,6.5862
62,5,5.0000,6.5862
