Agent,Plan,LocalCost,ComplexCost
0,9,9.0000,13.3971
1,5,5.0000,13.2803
2,2,2.0000,13.3971
3,4,4.0000,12.2937
4,8,8.0000,13.3971
5,6,6.0000,13.1722
6,6,6.0000,13.3971
7,8,8.0000,12.6864
8,0,0.0000,13.3971
9,4,4.0000,13.0437
10,4,4.0000,13.3971
11,8,8.0000,13.3971
12,8,8.0000,13.3971
13,1,1.0000,13.3971
14,1,1.0000,13.3971
15,4,4.0000,12.9944
16,1,1.0000,12.4884
17,3,3.0000,13.2136
18,1,1.0000,12.6956
19,5,5.0000,13.3971
20,9,9.0000,13.2488
21,7,7.0000,13.3971
22,4,4.0000,13.3971
23,0,0.0000,13.3710
24,4,4.0000,13.3971
25,4,4.0000,13.3971
26,7,7.0000,12.8352
27,6,6.0000,13.3971
28,8,8.0000,13.0431
29,8,8.0000,12.7027
30,9,9.0000,13.2125
31,5,5.0000,13.3971
32,4,4.0000,13.1171
33,8,8.0000,11.9118
34,0,0.0000,13.1722
35,6,6.0000,12.6864
36,8,8.0000,13.0437
37,7,7.0000,13.3971
38,9,9.0000,13.2029
39,6,6.0000,12.9944
40,3,3.0000,12.4884
41,6,6.0000,12.2385
42,0,0.0000,13.2488
43,2,2.0000,13.3710
44,4,4.0000,13.3971
45,6,6.0000,12.8352
46,3,3.0000,12.7027
47,2,2.0000,12.9368
48,3,3.0000,10.5709
49,1,1.0000,12.0233
50,1,1.0000,13.0437
51,2,2.0000,12.6410
52,2,2.0000,11.0245
53,5,5.0000,13.0801
54,5,5.0000,12.2237
55,0,0.0000,12.1657
56,6,6.0000,10.5709
57,9,9.0000,12.1757
58,8,8.0000,11.0245
59,5,5.0000,12.1657
60,6,6.0000,10.5709
61,0,0.0000,11.0245
62,5,5.0000,10.5709
