Agent,Plan,LocalCost,ComplexCost
0,6,6.0000,18.8138
1,0,0.0000,19.1660
2,2,2.0000,19.1660
3,4,4.0000,19.0715
4,8,8.0000,19.1660
5,6,6.0000,17.6710
6,8,8.0000,18.7422
7,3,3.0000,18.7849
8,0,0.0000,19.1660
9,5,5.0000,18.7477
10,4,4.0000,19.1660
11,0,0.0000,19.1184
12,5,5.0000,18.7362
13,4,4.0000,18.9427
14,1,1.0000,19.1660
15,9,9.0000,19.1311
16,5,5.0000,18.7314
17,0,0.0000,18.8231
18,1,1.0000,17.8410
19,6,6.0000,18.9951
20,8,8.0000,18.0203
21,7,7.0000,17.9420
22,4,4.0000,18.9907
23,5,5.0000,18.3104
24,4,4.0000,19.1660
25,2,2.0000,18.7799
26,5,5.0000,19.1660
27,5,5.0000,18.2821
28,8,8.0000,17.8601
29,8,8.0000,18.5958
30,3,3.0000,19.1660
31,2,2.0000,18.8229
32,4,4.0000,18.4963
33,5,5.0000,18.5908
34,0,0.0000,17.6710
35,6,6.0000,18.0277
36,8,8.0000,18.7477
37,7,7.0000,19.1184
38,9,9.0000,17.7288
39,6,6.0000,19.1311
40,2,2.0000,18.1089
41,8,8.0000,17.1764
42,0,0.0000,17.5644
43,2,2.0000,16.4652
44,3,3.0000,18.3240
45,9,9.0000,18.1144
46,3,3.0000,17.8601
47,2,2.0000,17.6990
48,0,0.0000,16.6314
49,1,1.0000,17.1278
50,9,9.0000,17.6321
51,0,0.0000,16.8112
52,1,1.0000,17.0977
53,5,5.0000,13.3971
54,1,1.0000,16.7249
55,4,4.0000,15.9653
56,6,6.0000,16.6314
57,9,9.0000,14.3863
58,8,8.0000,13.3971
59,5,5.0000,15.9653
60,6,6.0000,14.3863
61,0,0.0000,13.3971
62,5,5.0000,13.3971
