Agent,Plan,LocalCost,ComplexCost
0,9,9.0000,8.6210
1,5,5.0000,8.6210
2,2,2.0000,8.6210
3,4,4.0000,8.6210
4,8,8.0000,8.6210
5,7,7.0000,8.6210
6,6,6.0000,8.6210
7,9,9.0000,8.6210
8,0,0.0000,8.6210
9,1,1.0000,8.6210
10,4,4.0000,8.6210
11,8,8.0000,8.6210
12,8,8.0000,8.6210
13,1,1.0000,8.6210
14,1,1.0000,8.6210
15,3,3.0000,8.6210
16,7,7.0000,8.6210
17,2,2.0000,8.6210
18,0,0.0000,8.6210
19,5,5.0000,8.6210
20,8,8.0000,8.6210
21,7,7.0000,8.6210
22,4,4.0000,8.6210
23,5,5.0000,8.6210
24,4,4.0000,8.6210
25,4,4.0000,8.6210
26,1,1.0000,8.6210
27,6,6.0000,8.6210
28,2,2.0000,8.6210
29,8,8.0000,8.6210
30,3,3.0000,8.6210
31,5,5.0000,8.6210
32,4,4.0000,8.6210
33,0,0.0000,8.5441
34,0,0.0000,8.6210
35,6,6.0000,8.6210
36,8,8.0000,8.6210
37,7,7.0000,8.6210
38,0,0.0000,8.6210
39,6,6.0000,8.6210
40,3,3.0000,8.6210
41,6,6.0000,8.3464
42,0,0.0000,8.6210
43,2,2.0000,8.6210
44,4,4.0000,8.6210
45,6,6.0000,8.6210
46,3,3.0000,8.6210
47,4,4.0000,8.6210
48,3,3.0000,8.5441
49,1,1.0000,8.6210
50,2,2.0000,8.1612
51,1,1.0000,8.6210
52,1,1.0000,8.3464
53,5,5.0000,8.6210
54,2,2.0000,8.6210
55,9,9.0000,8.6210
56,6,6.0000,8.5441
57,1,1.0000,7.9800
58,8,8.0000,8.3464
59,5,5.0000,8.6210
60,6,6.0000,7.9800
61,0,0.0000,8.3464
62,5,5.0000,7.6167
