Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,39.7997
1,3,3.0000,39.6036
2,9,9.0000,38.6630
3,7,7.0000,38.0370
4,5,5.0000,37.8790
5,2,2.0000,36.8611
6,5,5.0000,38.6471
7,3,3.0000,37.9175
8,1,1.0000,39.7431
9,5,5.0000,39.9798
10,9,9.0000,39.5361
11,1,1.0000,39.0596
12,4,4.0000,39.2791
13,8,8.0000,38.8962
14,1,1.0000,40.4222
15,2,2.0000,39.3683
16,6,6.0000,39.9889
17,1,1.0000,38.4538
18,9,9.0000,37.8343
19,5,5.0000,40.4222
20,6,6.0000,39.3154
21,3,3.0000,40.4222
22,7,7.0000,40.4222
23,5,5.0000,38.5544
24,4,4.0000,37.7165
25,4,4.0000,38.9542
26,5,5.0000,37.1862
27,9,9.0000,40.1293
28,2,2.0000,39.3081
29,4,4.0000,37.4376
30,3,3.0000,36.7183
31,5,5.0000,36.6104
32,4,4.0000,35.8415
33,0,0.0000,36.5051
34,5,5.0000,34.8703
35,2,2.0000,35.4188
36,0,0.0000,38.1834
37,1,1.0000,37.4339
38,9,9.0000,36.9577
39,6,6.0000,39.3683
40,7,7.0000,36.4763
41,7,7.0000,35.5822
42,9,9.0000,37.3040
43,3,3.0000,35.1678
44,4,4.0000,34.2167
45,6,6.0000,31.9664
46,3,3.0000,35.2439
47,6,6.0000,32.2013
48,6,6.0000,33.0970
49,3,3.0000,29.6369
50,0,0.0000,34.4627
51,3,3.0000,33.1839
52,8,8.0000,30.6617
53,5,5.0000,30.2545
54,9,9.0000,26.4270
55,9,9.0000,26.1613
56,2,2.0000,28.3171
57,4,4.0000,30.5010
58,8,8.0000,25.7594
59,5,5.0000,20.1176
60,7,7.0000,26.4432
61,0,0.0000,19.1660
62,5,5.0000,19.1660
