Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30
0,0,2,0,2,0,2,3,3,2,0,1,4,2,2,1,1,3,2,4,2,0,3,1,2,1,0,1,4,3,1,4,4
0,1,2,0,2,0,2,3,3,2,0,0,0,1,3,1,0,1,2,4,2,0,1,1,2,0,0,1,0,3,1,2,4
0,2,2,0,2,0,3,0,2,2,0,0,0,1,3,2,3,1,2,4,3,0,1,1,1,0,0,1,0,3,1,2,4
0,3,2,0,2,0,3,0,2,2,4,0,0,1,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,4,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,5,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,6,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,7,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,8,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,9,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,10,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,11,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
0,12,2,0,2,0,3,0,2,2,4,0,0,4,3,1,3,1,2,4,3,0,2,1,1,0,0,1,0,3,1,2,4
