Indices,GC,LC
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",8.880265353032074,1.0
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",9.515015694896828,1.1
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 2)",9.558949963581961,1.2
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",8.042341951934548,1.1
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",8.316072792422506,1.2
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 2)",8.369020373526121,1.3
"(0, 0, 0, 0, 0, 0, 0, 0, 2, 0)",9.018139999202559,1.2
"(0, 0, 0, 0, 0, 0, 0, 0, 2, 1)",9.28981007363252,1.3
"(0, 0, 0, 0, 0, 0, 0, 0, 2, 2)",9.599259266647554,1.4
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",9.92446216359653,1.1
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",10.762780600627204,1.2
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 2)",10.862775239399195,1.3
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",9.379305458865609,1.2
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",9.856604394519488,1.3
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 2)",9.96561234570996,1.4
"(0, 0, 0, 0, 0, 0, 0, 1, 2, 0)",10.098945937986874,1.3
"(0, 0, 0, 0, 0, 0, 0, 1, 2, 1)",10.57418410758276,1.4
"(0, 0, 0, 0, 0, 0, 0, 1, 2, 2)",10.93969367068465,1.5
"(0, 0, 0, 0, 0, 0, 0, 2, 0, 0)",9.385459834336231,1.2
"(0, 0, 0, 0, 0, 0, 0, 2, 0, 1)",9.961220816751934,1.3
"(0, 0, 0, 0, 0, 0, 0, 2, 0, 2)",10.153001270207094,1.4
"(0, 0, 0, 0, 0, 0, 0, 2, 1, 0)",9.273082271040192,1.3
"(0, 0, 0, 0, 0, 0, 0, 2, 1, 1)",9.487823752079098,1.4
"(0, 0, 0, 0, 0, 0, 0, 2, 1, 2)",9.68861751795274,1.5
"(0, 0, 0, 0, 0, 0, 0, 2, 2, 0)",9.463804025322608,1.4
"(0, 0, 0, 0, 0, 0, 0, 2, 2, 1)",9.676484740303515,1.5
"(0, 0, 0, 0, 0, 0, 0, 2, 2, 2)",10.133780118088573,1.6
"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9.96737963786566,1.1
"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",10.52305552484223,1.2
"(0, 0, 0, 0, 0, 0, 1, 0, 0, 2)",10.615622421416099,1.3
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",8.600525937471044,1.2
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",8.795182323070815,1.3
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 2)",8.896762532063168,1.4
"(0, 0, 0, 0, 0, 0, 1, 0, 2, 0)",9.13703076430797,1.3
"(0, 0, 0, 0, 0, 0, 1, 0, 2, 1)",9.329626383849746,1.4
"(0, 0, 0, 0, 0, 0, 1, 0, 2, 2)",9.687708204753516,1.5
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",11.740596149844219,1.2
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",12.499840131986712,1.3
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 2)",12.648467398647435,1.4
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",10.666509145816205,1.3
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",11.064733626581903,1.4
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 2)",11.22237420566111,1.5
"(0, 0, 0, 0, 0, 0, 1, 1, 2, 0)",10.946856404506391,1.4
"(0, 0, 0, 0, 0, 0, 1, 1, 2, 1)",11.343020119214088,1.5
"(0, 0, 0, 0, 0, 0, 1, 1, 2, 2)",11.757162310204716,1.6
"(0, 0, 0, 0, 0, 0, 1, 2, 0, 0)",10.688466910189206,1.3
"(0, 0, 0, 0, 0, 0, 1, 2, 0, 1)",11.185153437716714,1.4
