Indices,GC,LC
"(0, 0, 0, 0)",3.3115234375,1.0
"(0, 0, 0, 1)",1.80859375,1.25
"(0, 0, 1, 0)",4.875,1.25
"(0, 0, 1, 1)",2.8974609375,1.5
"(0, 0, 2, 0)",5.407958984375,1.5
"(0, 0, 2, 1)",3.234130859375,1.75
"(0, 1, 0, 0)",3.3115234375,1.25
"(0, 1, 0, 1)",1.80859375,1.5
"(0, 1, 1, 0)",4.875,1.5
"(0, 1, 1, 1)",2.8974609375,1.75
"(0, 1, 2, 0)",5.407958984375,1.75
"(0, 1, 2, 1)",3.234130859375,2.0
"(1, 0, 0, 0)",2.4130859375,1.25
"(1, 0, 0, 1)",0.96484375,1.5
"(1, 0, 1, 0)",4.109375,1.5
"(1, 0, 1, 1)",2.1865234375,1.75
"(1, 0, 2, 0)",4.779052734375,1.75
"(1, 0, 2, 1)",2.659912109375,2.0
"(1, 1, 0, 0)",2.4130859375,1.5
"(1, 1, 0, 1)",0.96484375,1.75
"(1, 1, 1, 0)",4.109375,1.75
"(1, 1, 1, 1)",2.1865234375,2.0
"(1, 1, 2, 0)",4.779052734375,2.0
"(1, 1, 2, 1)",2.659912109375,2.25
"(2, 0, 0, 0)",2.3349609375,1.5
"(2, 0, 0, 1)",0.8125,1.75
"(2, 0, 1, 0)",3.68359375,1.75
"(2, 0, 1, 1)",1.6865234375,2.0
"(2, 0, 2, 0)",4.159912109375,2.0
"(2, 0, 2, 1)",1.966552734375,2.25
"(2, 1, 0, 0)",2.3349609375,1.75
"(2, 1, 0, 1)",0.8125,2.0
"(2, 1, 1, 0)",3.68359375,2.0
"(2, 1, 1, 1)",1.6865234375,2.25
"(2, 1, 2, 0)",4.159912109375,2.25
"(2, 1, 2, 1)",1.966552734375,2.5
