Indices,GC,LC
"(0, 0, 0, 0, 1, 1, 0, 3)",9.461540709037125,1.625
"(0, 0, 0, 0, 1, 1, 1, 0)",7.688016301351029,1.375
"(0, 0, 0, 0, 1, 1, 1, 1)",8.404638988548307,1.5
"(0, 0, 0, 0, 1, 1, 1, 2)",8.244117946059767,1.625
"(0, 0, 0, 0, 1, 1, 1, 3)",7.874006057650271,1.75
"(0, 0, 0, 0, 1, 1, 2, 0)",8.470993130408218,1.5
"(0, 0, 0, 0, 1, 1, 2, 1)",8.784148040846539,1.625
"(0, 0, 0, 0, 1, 1, 2, 2)",8.304630601489933,1.75
"(0, 0, 0, 0, 1, 1, 2, 3)",8.25771509525257,1.875
"(0, 0, 0, 0, 1, 1, 3, 0)",8.476383854614717,1.625
"(0, 0, 0, 0, 1, 1, 3, 1)",9.116358617873384,1.75
"(0, 0, 0, 0, 1, 1, 3, 2)",8.728025624468591,1.875
"(0, 0, 0, 0, 1, 1, 3, 3)",8.645844193490516,2.0
"(0, 0, 0, 0, 1, 2, 0, 0)",7.059641350887493,1.375
"(0, 0, 0, 0, 1, 2, 0, 1)",8.194701305892991,1.5
"(0, 0, 0, 0, 1, 2, 0, 2)",8.195403504441167,1.625
"(0, 0, 0, 0, 1, 2, 0, 3)",8.163687864562338,1.75
"(0, 0, 0, 0, 1, 2, 1, 0)",6.294876964740087,1.5
"(0, 0, 0, 0, 1, 2, 1, 1)",7.626425775891082,1.625
"(0, 0, 0, 0, 1, 2, 1, 2)",7.318999543149365,1.75
"(0, 0, 0, 0, 1, 2, 1, 3)",7.015502286817283,1.875
"(0, 0, 0, 0, 1, 2, 2, 0)",7.472420852528035,1.625
"(0, 0, 0, 0, 1, 2, 2, 1)",8.40050188692007,1.75
"(0, 0, 0, 0, 1, 2, 2, 2)",7.774079257310287,1.875
"(0, 0, 0, 0, 1, 2, 2, 3)",7.793778383150337,2.0
"(0, 0, 0, 0, 1, 2, 3, 0)",7.155030460936663,1.75
"(0, 0, 0, 0, 1, 2, 3, 1)",8.409931348149042,1.875
"(0, 0, 0, 0, 1, 2, 3, 2)",7.874693164491074,2.0
"(0, 0, 0, 0, 1, 2, 3, 3)",7.859126365590412,2.125
"(0, 0, 0, 0, 1, 3, 0, 0)",7.912701988193263,1.5
"(0, 0, 0, 0, 1, 3, 0, 1)",8.696811627760926,1.625
"(0, 0, 0, 0, 1, 3, 0, 2)",8.685344495309671,1.75
"(0, 0, 0, 0, 1, 3, 0, 3)",8.703012588199021,1.875
"(0, 0, 0, 0, 1, 3, 1, 0)",7.08383627620562,1.625
"(0, 0, 0, 0, 1, 3, 1, 1)",8.064434771918782,1.75
"(0, 0, 0, 0, 1, 3, 1, 2)",7.7448392081776305,1.875
"(0, 0, 0, 0, 1, 3, 1, 3)",7.4907256846137305,2.0
"(0, 0, 0, 0, 1, 3, 2, 0)",8.09863079805034,1.75
