Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,22.3678
1,2,2.0000,22.7628
2,2,2.0000,22.7694
3,1,1.0000,22.8589
4,4,4.0000,22.5730
5,0,0.0000,25.0813
6,3,3.0000,24.5440
7,3,3.0000,23.8853
8,2,2.0000,23.7335
9,1,1.0000,25.0813
10,3,3.0000,24.7894
11,4,4.0000,23.3518
12,0,0.0000,23.0751
13,1,1.0000,25.0813
14,3,3.0000,25.0328
15,2,2.0000,23.1623
16,2,2.0000,19.0409
17,0,0.0000,20.4260
18,3,3.0000,20.9045
19,0,0.0000,22.9209
20,2,2.0000,22.6598
21,3,3.0000,22.3900
22,1,1.0000,21.1161
23,2,2.0000,21.5792
24,0,0.0000,15.6218
25,1,1.0000,19.3500
26,4,4.0000,20.4431
27,2,2.0000,17.8363
28,2,2.0000,15.2566
29,4,4.0000,17.8363
30,4,4.0000,15.2566
