Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,9.1384
1,2,2.0000,9.1384
2,2,2.0000,9.1384
3,1,1.0000,9.1384
4,4,4.0000,8.8218
5,0,0.0000,9.1384
6,0,0.0000,9.1085
7,1,1.0000,9.1384
8,0,0.0000,9.1384
9,1,1.0000,9.1384
10,0,0.0000,9.1384
11,3,3.0000,9.1384
12,3,3.0000,9.1384
13,1,1.0000,9.1384
14,1,1.0000,9.1384
15,0,0.0000,9.1384
16,2,2.0000,9.1384
17,0,0.0000,9.1384
18,1,1.0000,8.8218
19,4,4.0000,9.1085
20,2,2.0000,8.9280
21,3,3.0000,9.1384
22,1,1.0000,9.1384
23,0,0.0000,9.1384
24,2,2.0000,9.1384
25,0,0.0000,8.3483
26,1,1.0000,8.9280
27,2,2.0000,9.1384
28,1,1.0000,8.3483
29,4,4.0000,8.9280
30,4,4.0000,8.3483
