Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,7.8306
1,2,2.0000,7.8306
2,2,2.0000,7.8306
3,1,1.0000,7.8306
4,4,4.0000,7.8306
5,0,0.0000,7.8306
6,3,3.0000,7.8306
7,1,1.0000,7.8306
8,0,0.0000,7.8306
9,1,1.0000,7.8306
10,0,0.0000,7.8306
11,3,3.0000,7.8306
12,3,3.0000,7.8306
13,1,1.0000,7.8306
14,1,1.0000,7.8306
15,0,0.0000,7.8306
16,2,2.0000,7.8306
17,0,0.0000,7.8306
18,1,1.0000,7.8306
19,4,4.0000,7.8306
20,1,1.0000,7.8306
21,3,3.0000,7.8306
22,0,0.0000,7.8306
23,0,0.0000,7.8306
24,2,2.0000,7.8306
25,0,0.0000,7.8306
26,1,1.0000,7.8306
27,2,2.0000,7.8306
28,1,1.0000,7.8306
29,4,4.0000,7.8306
30,4,4.0000,7.8306
