Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,0.8564
1,0,0.0000,0.8180
2,2,2.0000,0.7367
3,0,0.0000,0.8067
4,2,2.0000,0.9118
5,3,3.0000,0.9475
6,3,3.0000,0.7590
7,2,2.0000,0.9152
8,0,0.0000,0.8521
9,1,1.0000,0.8257
10,4,4.0000,0.7518
11,2,2.0000,0.8940
12,2,2.0000,0.7946
13,1,1.0000,0.6713
14,1,1.0000,0.7310
15,3,3.0000,0.7460
16,2,2.0000,0.9555
17,2,2.0000,0.7212
18,0,0.0000,0.8965
19,3,3.0000,0.8565
20,2,2.0000,0.8716
21,3,3.0000,0.8565
22,1,1.0000,0.8999
23,0,0.0000,0.8835
24,3,3.0000,0.8628
25,0,0.0000,0.8111
26,1,1.0000,0.6589
27,3,3.0000,3.1444
28,3,3.0000,3.4144
29,2,2.0000,3.0802
30,3,3.0000,3.3530
31,4,4.0000,2.6547
32,3,3.0000,3.3209
33,1,1.0000,2.7738
34,0,0.0000,2.5342
35,0,0.0000,2.6602
36,3,3.0000,11.8351
37,3,3.0000,9.8674
38,4,4.0000,6.9919
39,4,4.0000,28.8587
