Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,10.3866
1,2,2.0000,10.0549
2,2,2.0000,10.3866
3,4,4.0000,9.9050
4,2,2.0000,10.3866
5,3,3.0000,10.3866
6,2,2.0000,10.3206
7,2,2.0000,10.3866
8,0,0.0000,10.3866
9,1,1.0000,10.3866
10,0,0.0000,10.3866
11,0,0.0000,10.3866
12,3,3.0000,9.7970
13,0,0.0000,10.3637
14,0,0.0000,10.3866
15,1,1.0000,10.3866
16,1,1.0000,9.9977
17,2,2.0000,10.3866
18,0,0.0000,10.3866
19,3,3.0000,10.3866
20,2,2.0000,10.3866
21,3,3.0000,10.3866
22,0,0.0000,9.8729
23,0,0.0000,10.3866
24,0,0.0000,10.3866
25,2,2.0000,10.3866
26,0,0.0000,10.3866
27,3,3.0000,10.0549
28,1,1.0000,9.7158
29,4,4.0000,10.0027
30,4,4.0000,10.3866
31,2,2.0000,9.7970
32,2,2.0000,9.9977
33,1,1.0000,10.3866
34,0,0.0000,9.8729
35,1,1.0000,10.3866
36,3,3.0000,9.5498
37,1,1.0000,9.7970
38,0,0.0000,9.8729
39,0,0.0000,8.6408
