Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,8.6408
1,2,2.0000,8.6408
2,2,2.0000,8.6408
3,4,4.0000,8.6408
4,2,2.0000,8.6408
5,0,0.0000,8.5736
6,3,3.0000,8.6408
7,2,2.0000,8.6408
8,0,0.0000,8.6408
9,0,0.0000,8.6357
10,0,0.0000,8.6408
11,0,0.0000,8.6408
12,1,1.0000,8.6408
13,2,2.0000,8.6408
14,0,0.0000,8.6408
15,3,3.0000,8.5781
16,2,2.0000,8.6408
17,2,2.0000,8.6408
18,0,0.0000,8.6408
19,3,3.0000,8.6408
20,2,2.0000,8.6408
21,3,3.0000,8.6408
22,0,0.0000,8.6408
23,0,0.0000,8.6408
24,0,0.0000,8.6408
25,2,2.0000,8.6408
26,0,0.0000,8.6408
27,2,2.0000,8.2755
28,1,1.0000,8.5736
29,4,4.0000,8.6154
30,4,4.0000,8.6357
31,2,2.0000,8.6408
32,2,2.0000,8.5781
33,1,1.0000,8.6408
34,3,3.0000,8.3977
35,1,1.0000,8.6408
36,3,3.0000,8.2755
37,1,1.0000,8.2378
38,0,0.0000,8.3977
39,0,0.0000,7.9969
