Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,25.4865
1,2,2.0000,27.5927
2,2,2.0000,28.8587
3,2,2.0000,26.5147
4,0,0.0000,26.2431
5,0,0.0000,27.6625
6,2,2.0000,27.4126
7,1,1.0000,27.7375
8,0,0.0000,28.8587
9,4,4.0000,28.4299
10,0,0.0000,26.3272
11,0,0.0000,27.6650
12,4,4.0000,27.9727
13,2,2.0000,27.3365
14,0,0.0000,26.6826
15,1,1.0000,28.0505
16,1,1.0000,28.3576
17,1,1.0000,27.4177
18,3,3.0000,28.0067
19,3,3.0000,28.8587
20,2,2.0000,28.8587
21,3,3.0000,28.8587
22,0,0.0000,28.6728
23,0,0.0000,28.8587
24,0,0.0000,28.6261
25,2,2.0000,27.3431
26,0,0.0000,27.9682
27,4,4.0000,23.7259
28,0,0.0000,23.1363
29,4,4.0000,23.7742
30,4,4.0000,24.1600
31,2,2.0000,22.1902
32,2,2.0000,25.8204
33,1,1.0000,28.0067
34,0,0.0000,28.6728
35,1,1.0000,24.3828
36,3,3.0000,19.4686
37,0,0.0000,16.0088
38,0,0.0000,23.1456
39,0,0.0000,14.4021
