Indices,GC,LC
"(0, 0, 7, 8)",3.735876792435596,4.75
"(0, 0, 7, 9)",4.130148553410085,5.0
"(0, 0, 7, 10)",3.772492574172895,5.25
"(0, 0, 7, 11)",3.723360236698588,5.5
"(0, 0, 7, 12)",3.7124623444435207,5.75
"(0, 0, 7, 13)",3.5590821834902435,6.0
"(0, 0, 7, 14)",3.589006822094226,6.25
"(0, 0, 7, 15)",2.9489613256891873,6.5
"(0, 0, 8, 0)",3.9622417576856317,3.0
"(0, 0, 8, 1)",3.915145579253039,3.25
"(0, 0, 8, 2)",3.7032452540215353,3.5
"(0, 0, 8, 3)",4.528970480175893,3.75
"(0, 0, 8, 4)",3.9286592187037837,4.0
"(0, 0, 8, 5)",3.5976580525958415,4.25
"(0, 0, 8, 6)",3.7146073995640694,4.5
"(0, 0, 8, 7)",3.53268279984047,4.75
"(0, 0, 8, 8)",3.711124568392693,5.0
"(0, 0, 8, 9)",3.801414313504284,5.25
"(0, 0, 8, 10)",4.00105999048364,5.5
"(0, 0, 8, 11)",3.8485733873258385,5.75
"(0, 0, 8, 12)",3.2330210377637605,6.0
"(0, 0, 8, 13)",4.048028432579143,6.25
"(0, 0, 8, 14)",3.53621084276823,6.5
"(0, 0, 8, 15)",2.9884300582120296,6.75
"(0, 0, 9, 0)",3.624441919758943,3.25
"(0, 0, 9, 1)",3.415187819493661,3.5
"(0, 0, 9, 2)",3.037638605723201,3.75
"(0, 0, 9, 3)",3.6208498883537614,4.0
"(0, 0, 9, 4)",3.692930755634186,4.25
"(0, 0, 9, 5)",3.657710944946186,4.5
"(0, 0, 9, 6)",3.274990724772634,4.75
"(0, 0, 9, 7)",3.4690202603519666,5.0
"(0, 0, 9, 8)",3.0720275034168703,5.25
"(0, 0, 9, 9)",3.329345855092122,5.5
"(0, 0, 9, 10)",3.519498771303441,5.75
"(0, 0, 9, 11)",3.177133020322365,6.0
"(0, 0, 9, 12)",3.1737209781656905,6.25
"(0, 0, 9, 13)",3.1860485516472705,6.5
"(0, 0, 9, 14)",3.2709719847436194,6.75
"(0, 0, 9, 15)",2.6954940283698257,7.0
"(0, 0, 10, 0)",3.6031294629394375,3.5
"(0, 0, 10, 1)",3.239758422362584,3.75
"(0, 0, 10, 2)",3.380082184725716,4.0
"(0, 0, 10, 3)",3.748357754727076,4.25
"(0, 0, 10, 4)",3.1307127944866253,4.5
"(0, 0, 10, 5)",3.4634872149003764,4.75
"(0, 0, 10, 6)",3.3570631972746816,5.0
"(0, 0, 10, 7)",3.3572590843609964,5.25
"(0, 0, 10, 8)",3.3725170893845506,5.5
"(0, 0, 10, 9)",3.459208290436739,5.75
"(0, 0, 10, 10)",3.427721560659705,6.0
"(0, 0, 10, 11)",2.9395912610459987,6.25
"(0, 0, 10, 12)",2.972797436997201,6.5
"(0, 0, 10, 13)",3.861026325569615,6.75
"(0, 0, 10, 14)",3.292222533741081,7.0
"(0, 0, 10, 15)",2.5361914700387755,7.25
"(0, 0, 11, 0)",3.916259375806115,3.75
"(0, 0, 11, 1)",3.3082935760914527,4.0
"(0, 0, 11, 2)",3.455876591147366,4.25
"(0, 0, 11, 3)",3.5860785487411193,4.5
"(0, 0, 11, 4)",3.4884469436850534,4.75
"(0, 0, 11, 5)",3.4855886724364478,5.0
"(0, 0, 11, 6)",3.3786181035734506,5.25
"(0, 0, 11, 7)",3.526068145293446,5.5
"(0, 0, 11, 8)",3.452053522050341,5.75
"(0, 0, 11, 9)",3.6144429793952217,6.0
"(0, 0, 11, 10)",3.6834117547607748,6.25
"(0, 0, 11, 11)",3.7547214767193524,6.5
"(0, 0, 11, 12)",3.4554969788256114,6.75
"(0, 0, 11, 13)",3.584067473724511,7.0
"(0, 0, 11, 14)",3.5254535512749747,7.25
"(0, 0, 11, 15)",2.86865008965503,7.5
"(0, 0, 12, 0)",4.374501620738206,4.0
"(0, 0, 12, 1)",3.58498754706553,4.25
"(0, 0, 12, 2)",4.468814305441259,4.5
"(0, 0, 12, 3)",4.2142734899390915,4.75
"(0, 0, 12, 4)",4.265165992438653,5.0
"(0, 0, 12, 5)",3.8005476867191557,5.25
"(0, 0, 12, 6)",4.322484161877522,5.5
"(0, 0, 12, 7)",3.5819098010347283,5.75
"(0, 0, 12, 8)",3.8904451262783426,6.0
"(0, 0, 12, 9)",4.1416661905315575,6.25
"(0, 0, 12, 10)",4.150797059837184,6.5
"(0, 0, 12, 11)",4.280056205975726,6.75
"(0, 0, 12, 12)",4.220679505857003,7.0
"(0, 0, 12, 13)",4.300580935159383,7.25
"(0, 0, 12, 14)",4.435259537350726,7.5
"(0, 0, 12, 15)",3.363913418885799,7.75
"(0, 0, 13, 0)",3.867952356107976,4.25
"(0, 0, 13, 1)",4.27136890224676,4.5
"(0, 0, 13, 2)",4.0047531389842,4.75
"(0, 0, 13, 3)",4.486600720156648,5.0
"(0, 0, 13, 4)",3.7707784542131946,5.25
"(0, 0, 13, 5)",3.5767574759035416,5.5
"(0, 0, 13, 6)",3.6225376084023457,5.75
"(0, 0, 13, 7)",4.0971674031323735,6.0
"(0, 0, 13, 8)",3.796934186149505,6.25
"(0, 0, 13, 9)",3.690550265823438,6.5
"(0, 0, 13, 10)",3.8616841785774993,6.75
"(0, 0, 13, 11)",3.244304800090354,7.0
"(0, 0, 13, 12)",3.6119517209499024,7.25
"(0, 0, 13, 13)",4.2558827919303654,7.5
"(0, 0, 13, 14)",3.5715257940863983,7.75
"(0, 0, 13, 15)",3.332672789601895,8.0
"(0, 0, 14, 0)",3.9176782461864765,4.5
"(0, 0, 14, 1)",3.5038851412447083,4.75
"(0, 0, 14, 2)",3.435698707901434,5.0
"(0, 0, 14, 3)",4.438653579268092,5.25
"(0, 0, 14, 4)",3.596309360663939,5.5
"(0, 0, 14, 5)",3.4443201425107226,5.75
"(0, 0, 14, 6)",3.966608678876245,6.0
"(0, 0, 14, 7)",3.418212598988116,6.25
"(0, 0, 14, 8)",3.505102554562651,6.5
"(0, 0, 14, 9)",3.850351558823277,6.75
"(0, 0, 14, 10)",3.882963991454959,7.0
"(0, 0, 14, 11)",3.8804944577017007,7.25
"(0, 0, 14, 12)",3.401719740779666,7.5
"(0, 0, 14, 13)",4.06945549207802,7.75
"(0, 0, 14, 14)",4.077309168504324,8.0
"(0, 0, 14, 15)",2.389874337261961,8.25
"(0, 0, 15, 0)",3.3742844857992687,4.75
"(0, 0, 15, 1)",2.979042189082965,5.0
"(0, 0, 15, 2)",3.212206166957297,5.25
"(0, 0, 15, 3)",3.9894874990680678,5.5
"(0, 0, 15, 4)",3.4073337219805904,5.75
"(0, 0, 15, 5)",3.453161263592471,6.0
"(0, 0, 15, 6)",2.9506885292010816,6.25
"(0, 0, 15, 7)",3.3048502287906287,6.5
"(0, 0, 15, 8)",3.393937271341634,6.75
"(0, 0, 15, 9)",2.9298207490967916,7.0
"(0, 0, 15, 10)",3.192848851468487,7.25
"(0, 0, 15, 11)",3.0575287617592473,7.5
"(0, 0, 15, 12)",2.685665364259664,7.75
"(0, 0, 15, 13)",3.3775839483072487,8.0
"(0, 0, 15, 14)",2.9942805290053713,8.25
"(0, 0, 15, 15)",2.432886557512335,8.5
"(0, 1, 0, 0)",4.241577052453416,1.25
"(0, 1, 0, 1)",3.9769753829979533,1.5
"(0, 1, 0, 2)",4.042049115568199,1.75
"(0, 1, 0, 3)",4.507274073881735,2.0
"(0, 1, 0, 4)",4.310902655650928,2.25
"(0, 1, 0, 5)",3.6413613306364545,2.5
"(0, 1, 0, 6)",3.9228400705416875,2.75
"(0, 1, 0, 7)",3.833406417141905,3.0
"(0, 1, 0, 8)",3.2470523417831902,3.25
"(0, 1, 0, 9)",3.8925273330104786,3.5
"(0, 1, 0, 10)",3.7852860248566014,3.75
"(0, 1, 0, 11)",3.661988372086384,4.0
"(0, 1, 0, 12)",3.5453203861533225,4.25
"(0, 1, 0, 13)",4.467911727000862,4.5
"(0, 1, 0, 14)",3.952408258691713,4.75
"(0, 1, 0, 15)",2.9336714883968695,5.0
"(0, 1, 1, 0)",5.580094108229596,1.5
"(0, 1, 1, 1)",4.189552603540588,1.75
"(0, 1, 1, 2)",4.988375795599793,2.0
"(0, 1, 1, 3)",5.097686463951913,2.25
"(0, 1, 1, 4)",5.354991188972739,2.5
"(0, 1, 1, 5)",4.131153970991561,2.75
"(0, 1, 1, 6)",4.647998715713367,3.0
"(0, 1, 1, 7)",4.4950184128353285,3.25
"(0, 1, 1, 8)",4.255379706115628,3.5
"(0, 1, 1, 9)",4.694430247532726,3.75
"(0, 1, 1, 10)",4.470840529162487,4.0
"(0, 1, 1, 11)",4.443251660049014,4.25
"(0, 1, 1, 12)",4.501302641432887,4.5
"(0, 1, 1, 13)",4.36365520796485,4.75
"(0, 1, 1, 14)",4.399561416173875,5.0
"(0, 1, 1, 15)",3.974088410747994,5.25
"(0, 1, 2, 0)",4.584063596861065,1.75
"(0, 1, 2, 1)",4.267623121291002,2.0
"(0, 1, 2, 2)",4.371578898770888,2.25
