Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,7.6537
1,0,0.0000,7.6537
2,1,1.0000,7.6537
3,0,0.0000,7.6537
4,2,2.0000,7.6537
5,3,3.0000,7.6537
6,2,2.0000,7.6537
7,2,2.0000,7.6537
8,4,4.0000,7.6537
9,1,1.0000,7.6537
10,4,4.0000,7.6537
11,2,2.0000,7.6537
12,1,1.0000,7.6537
13,1,1.0000,7.6537
14,0,0.0000,7.6537
15,3,3.0000,7.6537
16,1,1.0000,7.6537
17,4,4.0000,7.6537
18,0,0.0000,7.6537
19,3,3.0000,7.6537
20,2,2.0000,7.6537
21,3,3.0000,7.6537
22,4,4.0000,7.6537
23,3,3.0000,7.6537
24,3,3.0000,7.6537
25,4,4.0000,7.6537
26,0,0.0000,7.6537
27,2,2.0000,7.6537
28,4,4.0000,7.6537
29,1,1.0000,7.6537
30,4,4.0000,7.6537
31,2,2.0000,7.6537
32,2,2.0000,7.6537
33,2,2.0000,7.6537
34,1,1.0000,7.6537
35,2,2.0000,7.6537
36,2,2.0000,7.6537
37,1,1.0000,7.6537
38,4,4.0000,7.6537
39,0,0.0000,7.6537
40,4,4.0000,7.6537
41,3,3.0000,7.6537
42,1,1.0000,7.6537
43,1,1.0000,7.6537
44,4,4.0000,7.6537
45,2,2.0000,7.6537
46,2,2.0000,7.6537
47,4,4.0000,7.6537
48,0,0.0000,7.6537
49,0,0.0000,7.6537
50,0,0.0000,7.6537
51,1,1.0000,7.6537
52,1,1.0000,7.6537
53,1,1.0000,7.6537
54,0,0.0000,7.6537
55,0,0.0000,7.6537
56,4,4.0000,7.6537
57,3,3.0000,7.6537
58,0,0.0000,7.6537
59,2,2.0000,7.6537
60,0,0.0000,7.6537
61,1,1.0000,7.6537
62,3,3.0000,7.6537
