Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,21.6954
1,0,0.0000,21.6954
2,2,2.0000,21.6954
3,0,0.0000,21.6954
4,1,1.0000,21.1783
5,3,3.0000,21.6954
6,2,2.0000,21.5039
7,3,3.0000,21.2705
8,0,0.0000,21.6954
9,1,1.0000,21.6954
10,2,2.0000,21.6112
11,0,0.0000,21.3054
12,1,1.0000,20.5015
13,2,2.0000,20.5300
14,0,0.0000,19.8349
15,0,0.0000,21.4411
16,1,1.0000,20.1964
17,4,4.0000,20.6709
18,0,0.0000,21.6954
19,3,3.0000,21.6954
20,2,2.0000,21.6954
21,3,3.0000,21.6954
22,4,4.0000,20.5650
23,0,0.0000,21.6954
24,3,3.0000,21.6954
25,4,4.0000,21.6954
26,0,0.0000,21.6954
27,0,0.0000,21.5785
28,4,4.0000,21.6954
29,1,1.0000,21.6954
30,4,4.0000,21.6954
31,2,2.0000,21.6954
32,2,2.0000,20.3317
33,1,1.0000,21.1195
34,1,1.0000,21.1783
35,1,1.0000,20.7047
36,2,2.0000,21.6954
37,3,3.0000,20.8749
38,0,0.0000,18.2436
39,0,0.0000,19.6298
40,4,4.0000,18.9727
41,3,3.0000,21.6954
42,1,1.0000,21.6954
43,4,4.0000,20.5650
44,4,4.0000,21.6954
45,2,2.0000,21.5785
46,2,2.0000,21.6954
47,4,4.0000,21.6954
48,2,2.0000,19.2534
49,1,1.0000,19.5505
50,0,0.0000,20.1512
51,3,3.0000,16.9945
52,1,1.0000,18.9727
53,1,1.0000,20.5650
54,0,0.0000,21.5785
55,0,0.0000,21.6954
56,4,4.0000,18.6466
57,1,1.0000,16.3859
58,2,2.0000,16.0010
59,2,2.0000,21.5785
60,0,0.0000,16.3859
61,1,1.0000,16.0010
62,3,3.0000,16.0010
