Agent,Plan,LocalCost,ComplexCost
0,7,7.0000,9.5419
1,0,0.0000,9.5419
2,6,6.0000,8.8436
3,3,3.0000,9.3846
4,0,0.0000,9.0796
5,5,5.0000,9.5419
6,2,2.0000,9.5419
7,1,1.0000,9.5419
8,0,0.0000,9.5419
9,1,1.0000,9.5419
10,5,5.0000,9.2027
11,1,1.0000,9.5419
12,8,8.0000,9.5419
13,1,1.0000,9.5419
14,0,0.0000,8.6165
15,0,0.0000,9.5419
16,0,0.0000,9.5419
17,0,0.0000,9.5419
18,6,6.0000,9.5419
19,3,3.0000,9.5419
20,6,6.0000,9.5419
21,9,9.0000,9.5419
22,7,7.0000,8.7480
23,0,0.0000,9.5419
24,0,0.0000,9.5419
25,9,9.0000,9.5419
26,7,7.0000,9.5419
27,2,2.0000,8.8436
28,1,1.0000,8.9010
29,2,2.0000,9.5419
30,0,0.0000,9.2027
31,1,1.0000,8.6165
32,1,1.0000,9.5419
33,2,2.0000,9.5419
34,0,0.0000,8.7480
35,7,7.0000,9.5419
36,8,8.0000,8.5655
37,7,7.0000,8.3327
38,9,9.0000,8.7480
39,5,5.0000,7.6640
