Agent,Plan,LocalCost,ComplexCost
0,7,7.0000,11.7260
1,0,0.0000,11.7260
2,6,6.0000,10.6497
3,7,7.0000,11.7260
4,3,3.0000,10.4681
5,5,5.0000,11.7260
6,2,2.0000,11.7260
7,1,1.0000,11.7260
8,0,0.0000,11.7260
9,1,1.0000,11.7260
10,2,2.0000,11.3742
11,1,1.0000,11.7260
12,8,8.0000,11.0182
13,1,1.0000,11.7260
14,3,3.0000,10.4643
15,0,0.0000,11.7260
16,0,0.0000,11.7260
17,4,4.0000,10.9296
18,6,6.0000,11.7260
19,3,3.0000,11.7260
20,6,6.0000,11.7260
21,9,9.0000,11.7260
22,9,9.0000,10.9821
23,0,0.0000,11.7260
24,0,0.0000,11.7260
25,9,9.0000,11.7260
26,7,7.0000,11.7260
27,2,2.0000,10.6497
28,2,2.0000,10.0904
29,4,4.0000,11.4596
30,0,0.0000,11.3742
31,1,1.0000,9.8181
32,1,1.0000,10.9296
33,2,2.0000,11.7260
34,0,0.0000,10.9821
35,7,7.0000,10.2824
36,9,9.0000,9.7625
37,7,7.0000,9.8181
38,9,9.0000,9.8889
39,5,5.0000,9.5419
