Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,1.0889
1,0,0.0000,0.8180
2,0,0.0000,0.7886
3,0,0.0000,0.8067
4,1,1.0000,0.9294
5,0,0.0000,1.0488
6,0,0.0000,0.8202
7,1,1.0000,0.9989
8,0,0.0000,0.8521
9,1,1.0000,0.8257
10,0,0.0000,0.9286
11,1,1.0000,0.9853
12,1,1.0000,0.8547
13,1,1.0000,0.6713
14,1,1.0000,0.7310
15,0,0.0000,0.8468
16,0,0.0000,1.0567
17,0,0.0000,0.9604
18,0,0.0000,0.8965
19,1,1.0000,0.9202
20,0,0.0000,1.0001
21,0,0.0000,1.0644
22,0,0.0000,0.9273
23,0,0.0000,0.8835
24,0,0.0000,0.9786
25,0,0.0000,0.8111
26,0,0.0000,0.7615
27,0,0.0000,3.9068
28,1,1.0000,2.8783
29,1,1.0000,3.5433
30,0,0.0000,3.6008
31,1,1.0000,3.1964
32,1,1.0000,3.0976
33,1,1.0000,4.2435
34,0,0.0000,3.4009
35,0,0.0000,2.9230
36,0,0.0000,12.0427
37,7,7.0000,11.3555
38,2,2.0000,12.0471
39,5,5.0000,41.4914
