Agent,Plan,LocalCost,ComplexCost
0,7,7.0000,18.6001
1,0,0.0000,19.8565
2,5,5.0000,18.8313
3,7,7.0000,18.1436
4,1,1.0000,19.8565
5,5,5.0000,18.7057
6,2,2.0000,19.2977
7,8,8.0000,19.2866
8,0,0.0000,19.8565
9,5,5.0000,19.2879
10,2,2.0000,17.6492
11,0,0.0000,19.2039
12,8,8.0000,18.7147
13,2,2.0000,19.5321
14,3,3.0000,17.1526
15,0,0.0000,19.8565
16,0,0.0000,19.8565
17,1,1.0000,19.7343
18,6,6.0000,19.8565
19,3,3.0000,19.8565
20,1,1.0000,19.5805
21,9,9.0000,19.8565
22,9,9.0000,19.1213
23,1,1.0000,17.8905
24,0,0.0000,19.8565
25,9,9.0000,19.8565
26,5,5.0000,19.5482
27,2,2.0000,14.9949
28,1,1.0000,16.2796
29,2,2.0000,17.9070
30,0,0.0000,17.4936
31,7,7.0000,14.8759
32,2,2.0000,18.1191
33,1,1.0000,19.3955
34,3,3.0000,16.7212
35,9,9.0000,19.5482
36,9,9.0000,11.7260
37,7,7.0000,14.6594
38,9,9.0000,16.7212
39,5,5.0000,11.7260
