Agent,Plan,LocalCost,ComplexCost
0,7,7.0000,5.7838
1,0,0.0000,5.7838
2,6,6.0000,5.7838
3,2,2.0000,5.7838
4,1,1.0000,5.7838
5,5,5.0000,5.7838
6,7,7.0000,5.4188
7,1,1.0000,5.7838
8,0,0.0000,5.7838
9,1,1.0000,5.7838
10,2,2.0000,5.7838
11,1,1.0000,5.7838
12,8,8.0000,5.7838
13,1,1.0000,5.7838
14,3,3.0000,5.7838
15,0,0.0000,5.7838
16,0,0.0000,5.7838
17,0,0.0000,5.7838
18,6,6.0000,5.7838
19,1,1.0000,5.7838
20,6,6.0000,5.7838
21,1,1.0000,5.7838
22,7,7.0000,5.7838
23,0,0.0000,5.7838
24,0,0.0000,5.7838
25,9,9.0000,5.7838
26,7,7.0000,5.7838
27,2,2.0000,5.7838
28,1,1.0000,5.7838
29,2,2.0000,5.4188
30,0,0.0000,5.7838
31,1,1.0000,5.7838
32,1,1.0000,5.7838
33,4,4.0000,5.7838
34,0,0.0000,5.7838
35,7,7.0000,5.7838
36,8,8.0000,5.4188
37,7,7.0000,5.7838
38,9,9.0000,5.7838
39,5,5.0000,5.4188
