Agent,Plan,LocalCost,ComplexCost
0,7,7.0000,6.2039
1,0,0.0000,6.2039
2,6,6.0000,6.2039
3,2,2.0000,6.2039
4,1,1.0000,6.2039
5,5,5.0000,6.2039
6,2,2.0000,6.2039
7,1,1.0000,6.2039
8,0,0.0000,6.2039
9,1,1.0000,6.2039
10,2,2.0000,6.2039
11,1,1.0000,6.2039
12,8,8.0000,6.2039
13,1,1.0000,6.2039
14,3,3.0000,6.2039
15,0,0.0000,6.2039
16,0,0.0000,6.2039
17,0,0.0000,6.2039
18,6,6.0000,6.2039
19,3,3.0000,6.2039
20,6,6.0000,6.2039
21,1,1.0000,6.2039
22,7,7.0000,6.2039
23,0,0.0000,6.2039
24,0,0.0000,6.2039
25,9,9.0000,6.2039
26,7,7.0000,6.2039
27,2,2.0000,6.2039
28,1,1.0000,6.2039
29,2,2.0000,6.2039
30,0,0.0000,6.2039
31,1,1.0000,6.2039
32,1,1.0000,6.2039
33,4,4.0000,5.9925
34,3,3.0000,6.0345
35,7,7.0000,6.2039
36,8,8.0000,6.2039
37,7,7.0000,6.2039
38,9,9.0000,5.9925
39,5,5.0000,5.9925
