Agent,Plan,LocalCost,ComplexCost
0,7,7.0000,6.5155
1,0,0.0000,6.5155
2,6,6.0000,6.5155
3,2,2.0000,6.2039
4,1,1.0000,6.5155
5,5,5.0000,6.5155
6,2,2.0000,6.5155
7,1,1.0000,6.5155
8,0,0.0000,6.5155
9,1,1.0000,6.5155
10,2,2.0000,6.5155
11,1,1.0000,6.5155
12,8,8.0000,6.5155
13,1,1.0000,6.5155
14,3,3.0000,6.5155
15,0,0.0000,6.5155
16,0,0.0000,6.5155
17,0,0.0000,6.5155
18,6,6.0000,6.5155
19,3,3.0000,6.5155
20,6,6.0000,6.5155
21,1,1.0000,6.5155
22,7,7.0000,6.5155
23,0,0.0000,6.5155
24,0,0.0000,6.5155
25,9,9.0000,6.5155
26,7,7.0000,6.5155
27,2,2.0000,6.5155
28,1,1.0000,6.2039
29,2,2.0000,6.5155
30,0,0.0000,6.5155
31,1,1.0000,6.5155
32,1,1.0000,6.5155
33,2,2.0000,6.5155
34,0,0.0000,6.5155
35,7,7.0000,6.5155
36,8,8.0000,6.2039
37,7,7.0000,6.5155
38,9,9.0000,6.5155
39,5,5.0000,6.2039
