Plan ID,Plan Scores,Run-0,Run-1
0,0.0,14,13
1,0.0,2,3
2,0.0,3,4
3,0.0,3,2
4,0.0,3,2
5,0.0,3,3
6,0.0,1,1
7,0.0,2,0
8,NaN,0,2
9,NaN,0,1
