Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,2,4
0,1,0,0,0,0,1,0,0,1,0,0,4,0,4,0,0,0,2,0,3,3,1,3,1,0,0,3,1,0,1,1,4,0,2,2,0,1,0,1,3,4
0,2,0,0,0,0,1,0,0,1,0,0,4,0,3,0,4,2,2,0,3,3,1,3,1,0,0,3,1,0,1,1,4,1,1,2,0,1,0,1,3,0
0,3,0,0,0,0,3,0,0,1,0,0,4,0,3,0,4,2,2,0,3,3,1,3,0,0,0,3,0,0,1,3,4,1,1,2,0,1,3,1,3,0
0,4,0,0,0,0,3,0,0,1,0,2,4,0,3,0,4,1,2,0,3,3,1,3,0,0,0,3,0,0,1,2,4,1,1,2,0,1,3,1,3,4
0,5,2,0,0,0,3,0,0,1,0,2,4,0,3,0,4,1,2,0,3,3,1,3,0,0,0,3,0,0,1,2,4,1,1,2,0,1,3,1,3,4
0,6,2,0,0,0,3,0,0,1,0,2,4,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,0,0,1,2,4,1,1,2,0,1,3,1,3,4
0,7,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,8,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,9,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,10,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,11,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,12,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,13,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,14,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,15,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,16,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,17,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,18,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,19,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,20,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,21,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,22,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,23,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
0,24,2,0,0,0,3,0,0,1,0,2,0,0,3,0,4,1,2,0,3,3,1,3,0,2,0,1,2,0,1,2,4,0,1,2,0,1,3,1,3,4
