Iteration,Mean,Stdev,Run-0
0,41.807863385456685,0.0,41.807863385456685
1,22.121889862034447,0.0,22.121889862034447
2,15.144441066742251,0.0,15.144441066742251
3,12.450270179600855,0.0,12.450270179600855
4,9.831449061686472,0.0,9.831449061686472
5,9.62932389996942,0.0,9.62932389996942
6,9.223698708954588,0.0,9.223698708954588
7,8.192909567103879,0.0,8.192909567103879
8,8.192909567103879,0.0,8.192909567103879
9,8.192909567103879,0.0,8.192909567103879
10,8.192909567103879,0.0,8.192909567103879
11,8.192909567103879,0.0,8.192909567103879
12,8.192909567103879,0.0,8.192909567103879
13,8.192909567103879,0.0,8.192909567103879
14,8.192909567103879,0.0,8.192909567103879
15,8.192909567103879,0.0,8.192909567103879
16,8.192909567103879,0.0,8.192909567103879
17,8.192909567103879,0.0,8.192909567103879
18,8.192909567103879,0.0,8.192909567103879
19,8.192909567103879,0.0,8.192909567103879
20,8.192909567103879,0.0,8.192909567103879
21,8.192909567103879,0.0,8.192909567103879
22,8.192909567103879,0.0,8.192909567103879
23,8.192909567103879,0.0,8.192909567103879
24,8.192909567103879,0.0,8.192909567103879
25,8.192909567103879,0.0,8.192909567103879
26,8.192909567103879,0.0,8.192909567103879
27,8.192909567103879,0.0,8.192909567103879
28,8.192909567103879,0.0,8.192909567103879
29,8.192909567103879,0.0,8.192909567103879
30,8.192909567103879,0.0,8.192909567103879
31,8.192909567103879,0.0,8.192909567103879
32,8.192909567103879,0.0,8.192909567103879
33,8.192909567103879,0.0,8.192909567103879
34,8.192909567103879,0.0,8.192909567103879
35,8.192909567103879,0.0,8.192909567103879
36,8.192909567103879,0.0,8.192909567103879
37,8.192909567103879,0.0,8.192909567103879
38,8.192909567103879,0.0,8.192909567103879
39,8.192909567103879,0.0,8.192909567103879
