Iteration,Mean,Stdev,Run-0
0,0.7745966692414834,0.0,0.7745966692414834
1,1.3883443376914821,0.0,1.3883443376914821
2,1.320747894187229,0.0,1.320747894187229
3,1.4177446878757824,0.0,1.4177446878757824
4,1.42828568570857,0.0,1.42828568570857
5,1.4133294025102567,0.0,1.4133294025102567
6,1.3774977313955912,0.0,1.3774977313955912
7,1.3358050007392546,0.0,1.3358050007392546
8,1.3358050007392546,0.0,1.3358050007392546
9,1.3358050007392546,0.0,1.3358050007392546
10,1.3358050007392546,0.0,1.3358050007392546
11,1.3358050007392546,0.0,1.3358050007392546
12,1.3358050007392546,0.0,1.3358050007392546
13,1.3358050007392546,0.0,1.3358050007392546
14,1.3358050007392546,0.0,1.3358050007392546
15,1.3358050007392546,0.0,1.3358050007392546
16,1.3358050007392546,0.0,1.3358050007392546
17,1.3358050007392546,0.0,1.3358050007392546
18,1.3358050007392546,0.0,1.3358050007392546
19,1.3358050007392546,0.0,1.3358050007392546
20,1.3358050007392546,0.0,1.3358050007392546
21,1.3358050007392546,0.0,1.3358050007392546
22,1.3358050007392546,0.0,1.3358050007392546
23,1.3358050007392546,0.0,1.3358050007392546
24,1.3358050007392546,0.0,1.3358050007392546
25,1.3358050007392546,0.0,1.3358050007392546
26,1.3358050007392546,0.0,1.3358050007392546
27,1.3358050007392546,0.0,1.3358050007392546
28,1.3358050007392546,0.0,1.3358050007392546
29,1.3358050007392546,0.0,1.3358050007392546
30,1.3358050007392546,0.0,1.3358050007392546
31,1.3358050007392546,0.0,1.3358050007392546
32,1.3358050007392546,0.0,1.3358050007392546
33,1.3358050007392546,0.0,1.3358050007392546
34,1.3358050007392546,0.0,1.3358050007392546
35,1.3358050007392546,0.0,1.3358050007392546
36,1.3358050007392546,0.0,1.3358050007392546
37,1.3358050007392546,0.0,1.3358050007392546
38,1.3358050007392546,0.0,1.3358050007392546
39,1.3358050007392546,0.0,1.3358050007392546
