Indices,GC,LC
"(0, 0, 0)",2.4136453254310295,1.0
"(0, 0, 1)",3.1395744693476195,1.3333333333333333
"(0, 0, 2)",2.978649372754631,1.6666666666666667
"(0, 0, 3)",2.5453102130696648,2.0
"(0, 0, 4)",2.793592138152552,2.3333333333333335
"(0, 0, 5)",3.25351396468133,2.6666666666666665
"(0, 0, 6)",2.5040393751044054,3.0
"(0, 0, 7)",2.576495709613022,3.3333333333333335
"(0, 0, 8)",2.679434815432275,3.6666666666666665
"(0, 0, 9)",2.376852596147083,4.0
"(0, 0, 10)",2.34712931523771,4.333333333333333
"(0, 0, 11)",2.543368397892687,4.666666666666667
"(0, 0, 12)",3.0737491947111413,5.0
"(0, 0, 13)",2.8651208594825794,5.333333333333333
"(0, 0, 14)",2.6385789502207517,5.666666666666667
"(0, 0, 15)",2.188610937216941,6.0
"(0, 1, 0)",2.856940140331034,1.3333333333333333
"(0, 1, 1)",3.6414609715016764,1.6666666666666667
"(0, 1, 2)",3.345871028105474,2.0
"(0, 1, 3)",2.739758479520617,2.3333333333333335
"(0, 1, 4)",3.4004781134795663,2.6666666666666665
"(0, 1, 5)",3.361973980229822,3.0
"(0, 1, 6)",2.6681036089501986,3.3333333333333335
"(0, 1, 7)",2.8284332538385946,3.6666666666666665
"(0, 1, 8)",3.0002990735846877,4.0
"(0, 1, 9)",2.8293936936863218,4.333333333333333
"(0, 1, 10)",2.5125414594915987,4.666666666666667
"(0, 1, 11)",2.9840086707116154,5.0
"(0, 1, 12)",2.9815889779574936,5.333333333333333
"(0, 1, 13)",3.338276543258069,5.666666666666667
"(0, 1, 14)",2.9734996752918437,6.0
"(0, 1, 15)",2.4909757633783136,6.333333333333333
"(0, 2, 0)",2.852728237053006,1.6666666666666667
"(0, 2, 1)",3.176147871330292,2.0
"(0, 2, 2)",3.336288929837123,2.3333333333333335
"(0, 2, 3)",3.362430401571603,2.6666666666666665
"(0, 2, 4)",3.082206470373847,3.0
"(0, 2, 5)",3.581003844040937,3.3333333333333335
"(0, 2, 6)",3.1218081090037977,3.6666666666666665
"(0, 2, 7)",3.110826530631909,4.0
"(0, 2, 8)",3.1598017157699427,4.333333333333333
"(0, 2, 9)",3.1742487866769244,4.666666666666667
"(0, 2, 10)",3.0035256745725984,5.0
"(0, 2, 11)",2.8446889209072617,5.333333333333333
"(0, 2, 12)",3.2848422240818653,5.666666666666667
"(0, 2, 13)",3.3140955162148096,6.0
"(0, 2, 14)",2.78096277562498,6.333333333333333
"(0, 2, 15)",2.6372674803630995,6.666666666666667
"(0, 3, 0)",2.534768908226548,2.0
"(0, 3, 1)",3.168391595515276,2.3333333333333335
"(0, 3, 2)",3.4031420249976594,2.6666666666666665
"(0, 3, 3)",2.6994328323504835,3.0
"(0, 3, 4)",2.884207454119904,3.3333333333333335
"(0, 3, 5)",3.266425052153955,3.6666666666666665
"(0, 3, 6)",2.5005252025980274,4.0
"(0, 3, 7)",3.1268667872396545,4.333333333333333
"(0, 3, 8)",2.6188056637040416,4.666666666666667
"(0, 3, 9)",3.1099623302214128,5.0
"(0, 3, 10)",2.8407804554903753,5.333333333333333
"(0, 3, 11)",2.715413566195165,5.666666666666667
"(0, 3, 12)",3.0392225032526703,6.0
"(0, 3, 13)",2.8981899672219913,6.333333333333333
"(0, 3, 14)",2.9500546805169825,6.666666666666667
"(0, 3, 15)",2.501573276192223,7.0
"(0, 4, 0)",2.5540613265723566,2.3333333333333335
"(0, 4, 1)",2.717027006070465,2.6666666666666665
"(0, 4, 2)",3.35296530621446,3.0
"(0, 4, 3)",2.5729124360809976,3.3333333333333335
"(0, 4, 4)",2.9467171330847997,3.6666666666666665
"(0, 4, 5)",3.573970771129615,4.0
"(0, 4, 6)",3.095269320719172,4.333333333333333
"(0, 4, 7)",2.954415414539267,4.666666666666667
"(0, 4, 8)",2.824906856184555,5.0
"(0, 4, 9)",3.524747325457999,5.333333333333333
