Iteration,Mean,Stdev,Run-0
0,45.42799522154239,0.0,45.42799522154239
1,28.88149669374556,0.0,28.88149669374556
2,19.665554591828112,0.0,19.665554591828112
3,15.522749497588187,0.0,15.522749497588187
4,12.99661681093781,0.0,12.99661681093781
5,10.941194182845727,0.0,10.941194182845727
6,9.357849032605964,0.0,9.357849032605964
7,9.193117730655631,0.0,9.193117730655631
8,9.183032858156595,0.0,9.183032858156595
9,8.954581412635768,0.0,8.954581412635768
10,8.877564899618385,0.0,8.877564899618385
11,8.658913059996241,0.0,8.658913059996241
12,8.041335897602735,0.0,8.041335897602735
13,8.041335897602735,0.0,8.041335897602735
14,8.041335897602735,0.0,8.041335897602735
15,8.041335897602735,0.0,8.041335897602735
16,8.041335897602735,0.0,8.041335897602735
17,8.041335897602735,0.0,8.041335897602735
18,8.041335897602735,0.0,8.041335897602735
19,8.041335897602735,0.0,8.041335897602735
20,8.041335897602735,0.0,8.041335897602735
21,8.041335897602735,0.0,8.041335897602735
22,8.041335897602735,0.0,8.041335897602735
23,8.041335897602735,0.0,8.041335897602735
24,8.041335897602735,0.0,8.041335897602735
25,8.041335897602735,0.0,8.041335897602735
26,8.041335897602735,0.0,8.041335897602735
27,8.041335897602735,0.0,8.041335897602735
28,8.041335897602735,0.0,8.041335897602735
29,8.041335897602735,0.0,8.041335897602735
30,8.041335897602735,0.0,8.041335897602735
31,8.041335897602735,0.0,8.041335897602735
32,8.041335897602735,0.0,8.041335897602735
33,8.041335897602735,0.0,8.041335897602735
34,8.041335897602735,0.0,8.041335897602735
35,8.041335897602735,0.0,8.041335897602735
36,8.041335897602735,0.0,8.041335897602735
37,8.041335897602735,0.0,8.041335897602735
38,8.041335897602735,0.0,8.041335897602735
39,8.041335897602735,0.0,8.041335897602735
