Indices,GC,LC
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",8.955509721579459,1.0
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",9.527672815818049,1.1
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 2)",8.424550440093645,1.2
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",7.844054141256164,1.1
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",8.03097484964503,1.2
"(0, 0, 0, 0, 0, 0, 0, 0, 1, 2)",7.893971957121866,1.3
"(0, 0, 0, 0, 0, 0, 0, 0, 2, 0)",10.291048748522206,1.2
"(0, 0, 0, 0, 0, 0, 0, 0, 2, 1)",9.977347598394031,1.3
"(0, 0, 0, 0, 0, 0, 0, 0, 2, 2)",9.722131226274668,1.4
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",8.812180215241717,1.1
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",9.119660758672415,1.2
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 2)",7.672072895507017,1.3
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",8.127981913214125,1.2
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",8.050220070795103,1.3
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 2)",7.568751690830942,1.4
"(0, 0, 0, 0, 0, 0, 0, 1, 2, 0)",9.877025062495012,1.3
"(0, 0, 0, 0, 0, 0, 0, 1, 2, 1)",9.298641361558948,1.4
"(0, 0, 0, 0, 0, 0, 0, 1, 2, 2)",8.698959501998589,1.5
"(0, 0, 0, 0, 0, 0, 0, 2, 0, 0)",8.552267553908887,1.2
"(0, 0, 0, 0, 0, 0, 0, 2, 0, 1)",9.501474342226897,1.3
"(0, 0, 0, 0, 0, 0, 0, 2, 0, 2)",8.122664809871571,1.4
"(0, 0, 0, 0, 0, 0, 0, 2, 1, 0)",8.231330723104222,1.3
"(0, 0, 0, 0, 0, 0, 0, 2, 1, 1)",8.795295125572512,1.4
"(0, 0, 0, 0, 0, 0, 0, 2, 1, 2)",8.382605076418423,1.5
"(0, 0, 0, 0, 0, 0, 0, 2, 2, 0)",9.774959298956842,1.4
"(0, 0, 0, 0, 0, 0, 0, 2, 2, 1)",9.838301842908091,1.5
"(0, 0, 0, 0, 0, 0, 0, 2, 2, 2)",9.307398314157803,1.6
"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9.095456122963943,1.1
"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",9.37042721594767,1.2
"(0, 0, 0, 0, 0, 0, 1, 0, 0, 2)",8.184207447097128,1.3
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",7.755743144289433,1.2
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",7.645471851423436,1.3
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 2)",7.425371565774135,1.4
"(0, 0, 0, 0, 0, 0, 1, 0, 2, 0)",10.267161382532745,1.3
"(0, 0, 0, 0, 0, 0, 1, 0, 2, 1)",9.656268231149708,1.4
"(0, 0, 0, 0, 0, 0, 1, 0, 2, 2)",9.317954465904206,1.5
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",9.276016548017507,1.2
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",9.286305090193345,1.3
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 2)",7.755619833901809,1.4
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",8.363560847638704,1.3
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",7.988607003964817,1.4
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 2)",7.4240412308745185,1.5
"(0, 0, 0, 0, 0, 0, 1, 1, 2, 0)",10.177027627896862,1.4
"(0, 0, 0, 0, 0, 0, 1, 1, 2, 1)",9.301451925705933,1.5
"(0, 0, 0, 0, 0, 0, 1, 1, 2, 2)",8.61867267301944,1.6
"(0, 0, 0, 0, 0, 0, 1, 2, 0, 0)",8.49972238254112,1.3
"(0, 0, 0, 0, 0, 0, 1, 2, 0, 1)",9.15173716960427,1.4
"(0, 0, 0, 0, 0, 0, 1, 2, 0, 2)",7.689830244122808,1.5
"(0, 0, 0, 0, 0, 0, 1, 2, 1, 0)",7.9505281533852425,1.4
"(0, 0, 0, 0, 0, 0, 1, 2, 1, 1)",8.217300554598669,1.5
"(0, 0, 0, 0, 0, 0, 1, 2, 1, 2)",7.721513112318442,1.6
"(0, 0, 0, 0, 0, 0, 1, 2, 2, 0)",9.558580360215135,1.5
"(0, 0, 0, 0, 0, 0, 1, 2, 2, 1)",9.32473090291152,1.6
"(0, 0, 0, 0, 0, 0, 1, 2, 2, 2)",8.710729981035094,1.7
"(0, 0, 0, 0, 0, 0, 2, 0, 0, 0)",9.006960756723958,1.2
"(0, 0, 0, 0, 0, 0, 2, 0, 0, 1)",8.819771371491834,1.3
"(0, 0, 0, 0, 0, 0, 2, 0, 0, 2)",8.101230628612832,1.4
"(0, 0, 0, 0, 0, 0, 2, 0, 1, 0)",7.662034818918279,1.3
"(0, 0, 0, 0, 0, 0, 2, 0, 1, 1)",7.089603047836432,1.4
"(0, 0, 0, 0, 0, 0, 2, 0, 1, 2)",7.337181788158667,1.5
"(0, 0, 0, 0, 0, 0, 2, 0, 2, 0)",10.274927849361895,1.4
"(0, 0, 0, 0, 0, 0, 2, 0, 2, 1)",9.201874219763004,1.5
"(0, 0, 0, 0, 0, 0, 2, 0, 2, 2)",9.331239480489044,1.6
"(0, 0, 0, 0, 0, 0, 2, 1, 0, 0)",9.574069532548329,1.3
"(0, 0, 0, 0, 0, 0, 2, 1, 0, 1)",9.122197596508315,1.4
"(0, 0, 0, 0, 0, 0, 2, 1, 0, 2)",8.059191366188317,1.5
"(0, 0, 0, 0, 0, 0, 2, 1, 1, 0)",8.656400873038352,1.4
"(0, 0, 0, 0, 0, 0, 2, 1, 1, 1)",7.819286551148615,1.5
"(0, 0, 0, 0, 0, 0, 2, 1, 1, 2)",7.722399804029857,1.6
