Iteration,Mean,Stdev,Run-0
0,4.380952380952381,0.0,4.380952380952381
1,4.428571428571429,0.0,4.428571428571429
2,4.333333333333333,0.0,4.333333333333333
3,4.571428571428571,0.0,4.571428571428571
4,4.428571428571429,0.0,4.428571428571429
5,4.26984126984127,0.0,4.26984126984127
6,4.2063492063492065,0.0,4.2063492063492065
7,4.222222222222222,0.0,4.222222222222222
8,4.190476190476191,0.0,4.190476190476191
9,4.2063492063492065,0.0,4.2063492063492065
10,4.2063492063492065,0.0,4.2063492063492065
11,4.2063492063492065,0.0,4.2063492063492065
12,4.2063492063492065,0.0,4.2063492063492065
13,4.2063492063492065,0.0,4.2063492063492065
14,4.2063492063492065,0.0,4.2063492063492065
15,4.2063492063492065,0.0,4.2063492063492065
16,4.2063492063492065,0.0,4.2063492063492065
17,4.2063492063492065,0.0,4.2063492063492065
18,4.2063492063492065,0.0,4.2063492063492065
19,4.2063492063492065,0.0,4.2063492063492065
20,4.2063492063492065,0.0,4.2063492063492065
21,4.2063492063492065,0.0,4.2063492063492065
22,4.2063492063492065,0.0,4.2063492063492065
23,4.2063492063492065,0.0,4.2063492063492065
24,4.2063492063492065,0.0,4.2063492063492065
25,4.2063492063492065,0.0,4.2063492063492065
26,4.2063492063492065,0.0,4.2063492063492065
27,4.2063492063492065,0.0,4.2063492063492065
28,4.2063492063492065,0.0,4.2063492063492065
29,4.2063492063492065,0.0,4.2063492063492065
30,4.2063492063492065,0.0,4.2063492063492065
31,4.2063492063492065,0.0,4.2063492063492065
32,4.2063492063492065,0.0,4.2063492063492065
33,4.2063492063492065,0.0,4.2063492063492065
34,4.2063492063492065,0.0,4.2063492063492065
35,4.2063492063492065,0.0,4.2063492063492065
36,4.2063492063492065,0.0,4.2063492063492065
37,4.2063492063492065,0.0,4.2063492063492065
38,4.2063492063492065,0.0,4.2063492063492065
39,4.2063492063492065,0.0,4.2063492063492065
