Indices,GC,LC
"(0, 0, 0, 0, 0, 0, 0, 0)",9.276230911917487,1.0
"(0, 0, 0, 0, 0, 0, 0, 1)",9.638288452625973,1.125
"(0, 0, 0, 0, 0, 0, 0, 2)",8.710765144857234,1.25
"(0, 0, 0, 0, 0, 0, 1, 0)",9.728521557496633,1.125
"(0, 0, 0, 0, 0, 0, 1, 1)",9.679230446239258,1.25
"(0, 0, 0, 0, 0, 0, 1, 2)",9.197234077879864,1.375
"(0, 0, 0, 0, 0, 0, 2, 0)",9.777283151368115,1.25
"(0, 0, 0, 0, 0, 0, 2, 1)",10.1986881566223,1.375
"(0, 0, 0, 0, 0, 0, 2, 2)",9.17616962127941,1.5
"(0, 0, 0, 0, 0, 1, 0, 0)",10.137218211061718,1.125
"(0, 0, 0, 0, 0, 1, 0, 1)",10.640104457443499,1.25
"(0, 0, 0, 0, 0, 1, 0, 2)",9.432875235693873,1.375
"(0, 0, 0, 0, 0, 1, 1, 0)",9.768734069411884,1.25
"(0, 0, 0, 0, 0, 1, 1, 1)",9.860271663827804,1.375
"(0, 0, 0, 0, 0, 1, 1, 2)",9.098569381487524,1.5
"(0, 0, 0, 0, 0, 1, 2, 0)",10.130383519839096,1.375
"(0, 0, 0, 0, 0, 1, 2, 1)",10.692617230766576,1.5
"(0, 0, 0, 0, 0, 1, 2, 2)",9.3903927814428,1.625
"(0, 0, 0, 0, 0, 2, 0, 0)",9.164663918760459,1.25
"(0, 0, 0, 0, 0, 2, 0, 1)",9.452747732136688,1.375
"(0, 0, 0, 0, 0, 2, 0, 2)",8.594473507466226,1.5
"(0, 0, 0, 0, 0, 2, 1, 0)",9.549361280288284,1.375
"(0, 0, 0, 0, 0, 2, 1, 1)",9.426096441698656,1.5
"(0, 0, 0, 0, 0, 2, 1, 2)",9.01334915643754,1.625
"(0, 0, 0, 0, 0, 2, 2, 0)",9.41850374291904,1.5
"(0, 0, 0, 0, 0, 2, 2, 1)",9.765935020840965,1.625
"(0, 0, 0, 0, 0, 2, 2, 2)",8.812665568596357,1.75
"(0, 0, 0, 0, 1, 0, 0, 0)",9.995306386771674,1.125
"(0, 0, 0, 0, 1, 0, 0, 1)",9.789798064269304,1.25
"(0, 0, 0, 0, 1, 0, 0, 2)",8.81084495313401,1.375
"(0, 0, 0, 0, 1, 0, 1, 0)",10.674490519764717,1.25
"(0, 0, 0, 0, 1, 0, 1, 1)",10.057633545296488,1.375
"(0, 0, 0, 0, 1, 0, 1, 2)",9.52420737357054,1.5
"(0, 0, 0, 0, 1, 0, 2, 0)",10.308581412864642,1.375
"(0, 0, 0, 0, 1, 0, 2, 1)",10.16242055490797,1.5
"(0, 0, 0, 0, 1, 0, 2, 2)",9.088472216198525,1.625
"(0, 0, 0, 0, 1, 1, 0, 0)",11.241874988776466,1.25
"(0, 0, 0, 0, 1, 1, 0, 1)",11.177195371947393,1.375
"(0, 0, 0, 0, 1, 1, 0, 2)",9.91853634683121,1.5
