Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,38.4113
1,0,0.0000,38.4113
2,0,0.0000,38.4113
3,0,0.0000,38.4113
4,0,0.0000,38.4113
5,0,0.0000,38.4113
6,0,0.0000,38.4113
7,0,0.0000,38.4113
8,0,0.0000,38.4113
9,0,0.0000,38.4113
10,0,0.0000,38.4113
11,0,0.0000,38.4113
12,0,0.0000,38.4113
13,0,0.0000,38.4113
14,0,0.0000,38.4113
15,0,0.0000,38.4113
16,0,0.0000,38.4113
17,0,0.0000,38.4113
18,0,0.0000,38.4113
19,0,0.0000,38.4113
20,0,0.0000,38.4113
21,0,0.0000,38.4113
22,0,0.0000,38.4113
23,0,0.0000,38.4113
24,0,0.0000,38.4113
25,0,0.0000,38.4113
26,0,0.0000,38.4113
27,0,0.0000,38.4113
28,0,0.0000,38.4113
29,0,0.0000,38.4113
30,0,0.0000,38.4113
31,0,0.0000,38.4113
32,0,0.0000,38.4113
33,0,0.0000,38.4113
34,0,0.0000,38.4113
35,0,0.0000,38.4113
36,0,0.0000,38.4113
37,0,0.0000,38.4113
38,0,0.0000,38.4113
39,0,0.0000,38.4113
