Agent,Plan,LocalCost,ComplexCost
0,6,6.0000,6.8876
1,2,2.0000,6.8876
2,9,9.0000,6.8876
3,2,2.0000,6.8876
4,8,8.0000,6.8876
5,7,7.0000,6.8876
6,6,6.0000,6.8876
7,9,9.0000,6.8876
8,0,0.0000,6.8876
9,2,2.0000,6.8876
10,4,4.0000,6.8876
11,8,8.0000,6.8876
12,4,4.0000,6.8876
13,1,1.0000,6.8876
14,1,1.0000,6.8876
15,9,9.0000,6.8876
16,9,9.0000,6.8876
17,2,2.0000,6.8876
18,4,4.0000,6.8876
19,5,5.0000,6.8876
20,9,9.0000,6.8876
21,3,3.0000,6.8876
22,2,2.0000,6.8876
23,0,0.0000,6.8876
24,2,2.0000,6.8876
25,0,0.0000,6.8876
26,6,6.0000,6.8876
27,5,5.0000,6.8876
28,6,6.0000,6.8876
29,9,9.0000,6.8876
30,0,0.0000,6.8876
