Agent,Plan,LocalCost,ComplexCost
0,6,6.0000,8.5438
1,2,2.0000,8.5438
2,9,9.0000,8.5438
3,2,2.0000,8.5438
4,8,8.0000,8.5438
5,9,9.0000,8.5162
6,6,6.0000,8.5438
7,9,9.0000,8.5438
8,0,0.0000,8.5438
9,4,4.0000,8.5438
10,3,3.0000,7.9407
11,8,8.0000,8.5438
12,4,4.0000,8.5438
13,1,1.0000,8.5438
14,1,1.0000,8.5438
15,9,9.0000,8.5438
16,9,9.0000,8.5438
17,2,2.0000,8.5438
18,6,6.0000,8.1768
19,5,5.0000,8.5438
20,3,3.0000,8.5438
21,3,3.0000,7.9407
22,2,2.0000,8.5438
23,1,1.0000,8.4903
24,2,2.0000,7.6317
25,0,0.0000,8.1768
26,6,6.0000,7.9407
27,5,5.0000,8.4903
28,6,6.0000,7.6317
29,9,9.0000,7.9407
30,0,0.0000,7.6317
