Iteration,Mean,Stdev,Run-0,Run-1
0,0.44999999999999996,0.25,0.7,0.2
1,1.9,0.10000000000000116,1.8,2.0
2,1.15,0.15000000000000135,1.0,1.3
3,1.2,0.2000000000000001,1.0,1.4
4,1.3,0.30000000000000016,1.0,1.6
