Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,9.3841
1,0,0.0000,9.3841
2,0,0.0000,9.3841
3,5,5.0000,9.3841
4,1,1.0000,9.3841
5,0,0.0000,9.3841
6,6,6.0000,9.3841
7,1,1.0000,9.3841
8,0,0.0000,9.3841
9,1,1.0000,9.3841
10,3,3.0000,9.3841
11,0,0.0000,9.3841
12,5,5.0000,9.3841
13,7,7.0000,9.3841
14,5,5.0000,9.3841
15,0,0.0000,9.3841
16,0,0.0000,9.3841
17,0,0.0000,9.3841
18,0,0.0000,9.3841
19,6,6.0000,9.3841
20,7,7.0000,9.2983
21,0,0.0000,9.3841
22,5,5.0000,9.3841
23,0,0.0000,9.3841
24,0,0.0000,9.3841
25,6,6.0000,8.9736
26,5,5.0000,9.3841
27,7,7.0000,9.3841
28,0,0.0000,9.3841
29,4,4.0000,9.3841
30,0,0.0000,9.3841
31,7,7.0000,9.3841
32,1,1.0000,9.3841
33,5,5.0000,9.3841
34,1,1.0000,9.3841
35,0,0.0000,9.3841
36,2,2.0000,9.3841
37,1,1.0000,9.3841
38,9,9.0000,9.3841
39,0,0.0000,9.3841
40,0,0.0000,9.0831
41,6,6.0000,9.3841
42,0,0.0000,9.2983
43,0,0.0000,9.3841
44,4,4.0000,8.9736
45,2,2.0000,9.3841
46,2,2.0000,9.3841
47,9,9.0000,9.0180
48,4,4.0000,9.3841
49,1,1.0000,9.3841
50,1,1.0000,9.3841
51,3,3.0000,9.3841
52,7,7.0000,9.0831
53,3,3.0000,9.2983
54,0,0.0000,8.9736
55,2,2.0000,9.0180
56,4,4.0000,9.3841
57,4,4.0000,9.3841
58,2,2.0000,9.0831
59,1,1.0000,8.9736
60,2,2.0000,8.3756
61,0,0.0000,8.5500
62,7,7.0000,8.1476
