Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,12.3834
1,0,0.0000,12.3834
2,0,0.0000,12.3834
3,5,5.0000,12.1015
4,1,1.0000,12.3834
5,0,0.0000,12.3834
6,6,6.0000,12.0235
7,1,1.0000,12.3834
8,0,0.0000,12.3834
9,6,6.0000,12.1762
10,4,4.0000,12.1254
11,0,0.0000,12.3834
12,5,5.0000,12.3834
13,7,7.0000,12.3834
14,8,8.0000,12.1071
15,0,0.0000,12.3834
16,0,0.0000,12.3834
17,0,0.0000,12.3834
18,0,0.0000,12.3834
19,6,6.0000,12.3834
20,0,0.0000,12.3834
21,0,0.0000,12.3834
22,5,5.0000,12.3834
23,0,0.0000,12.3834
24,0,0.0000,12.3834
25,9,9.0000,12.3834
26,7,7.0000,12.3601
27,7,7.0000,12.3834
28,0,0.0000,12.3834
29,4,4.0000,12.3834
30,0,0.0000,12.3834
31,7,7.0000,12.3834
32,1,1.0000,12.3834
33,5,5.0000,11.5476
34,1,1.0000,12.3834
35,0,0.0000,12.0235
36,2,2.0000,12.1762
37,1,1.0000,12.1254
38,9,9.0000,12.3834
39,0,0.0000,12.1071
40,1,1.0000,12.3834
41,6,6.0000,12.3834
42,0,0.0000,12.3834
43,8,8.0000,11.9476
44,4,4.0000,12.3834
45,1,1.0000,12.3601
46,2,2.0000,12.3834
47,0,0.0000,12.3834
48,4,4.0000,11.5476
49,1,1.0000,11.4064
50,1,1.0000,12.0543
51,3,3.0000,12.1071
52,7,7.0000,12.3834
53,3,3.0000,11.9476
54,0,0.0000,12.3601
55,2,2.0000,12.3834
56,4,4.0000,10.9601
57,4,4.0000,12.0543
58,2,2.0000,11.9476
59,1,1.0000,12.3601
60,4,4.0000,10.9643
61,0,0.0000,11.9476
62,7,7.0000,10.9643
