Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,19.6267
1,2,2.0000,19.4082
2,2,2.0000,21.2405
3,2,2.0000,20.3948
4,1,1.0000,19.8607
5,3,3.0000,21.2405
6,3,3.0000,21.2405
7,1,1.0000,20.1688
8,1,1.0000,20.6561
9,0,0.0000,18.9437
10,0,0.0000,19.4817
11,1,1.0000,20.4622
12,3,3.0000,20.4016
13,1,1.0000,21.2405
14,0,0.0000,19.4883
15,1,1.0000,20.8488
16,0,0.0000,16.9656
17,1,1.0000,20.0936
18,3,3.0000,18.8821
19,4,4.0000,19.2661
20,1,1.0000,18.0879
21,1,1.0000,18.4661
22,2,2.0000,20.4016
23,0,0.0000,18.1282
24,2,2.0000,16.1003
25,1,1.0000,16.9107
26,0,0.0000,14.9403
27,3,3.0000,17.5932
28,4,4.0000,13.8910
29,2,2.0000,12.7632
30,4,4.0000,12.7632
