Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,9.6293
1,0,0.0000,9.6293
2,0,0.0000,9.6293
3,0,0.0000,9.6293
4,3,3.0000,9.6293
5,0,0.0000,9.6293
6,0,0.0000,9.6293
7,1,1.0000,9.6293
8,0,0.0000,9.6293
9,2,2.0000,9.6293
10,4,4.0000,9.6293
11,0,0.0000,9.6293
12,3,3.0000,9.6293
13,0,0.0000,9.6293
14,4,4.0000,9.6293
15,1,1.0000,9.6293
16,2,2.0000,9.6293
17,0,0.0000,9.6293
18,3,3.0000,9.6293
19,3,3.0000,9.6293
20,1,1.0000,9.6293
21,3,3.0000,9.6293
22,0,0.0000,9.6293
23,2,2.0000,9.5525
24,0,0.0000,9.6293
25,1,1.0000,9.3925
26,0,0.0000,9.6293
27,0,0.0000,9.6293
28,1,1.0000,9.6293
29,2,2.0000,9.6293
30,4,4.0000,9.6293
31,1,1.0000,9.6293
32,1,1.0000,9.6293
33,2,2.0000,9.6293
34,0,0.0000,9.5525
35,1,1.0000,9.3925
36,3,3.0000,9.6293
37,1,1.0000,9.6293
38,3,3.0000,9.2237
39,4,4.0000,9.2237
