Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,22.1219
1,2,2.0000,21.8953
2,2,2.0000,21.5559
3,0,0.0000,22.1219
4,3,3.0000,20.5172
5,0,0.0000,22.1219
6,0,0.0000,22.1219
7,1,1.0000,22.1219
8,2,2.0000,21.4865
9,1,1.0000,21.0946
10,0,0.0000,20.8641
11,3,3.0000,21.5782
12,3,3.0000,20.6043
13,0,0.0000,22.1219
14,4,4.0000,20.0114
15,2,2.0000,19.6121
16,2,2.0000,22.1219
17,0,0.0000,22.1219
18,3,3.0000,22.1219
19,0,0.0000,21.1598
20,0,0.0000,19.7431
21,3,3.0000,22.1219
22,0,0.0000,20.4355
23,4,4.0000,22.0671
24,3,3.0000,21.6949
25,2,2.0000,20.2137
26,0,0.0000,20.8057
27,0,0.0000,21.4924
28,1,1.0000,20.5172
29,3,3.0000,20.7916
30,4,4.0000,18.9485
31,1,1.0000,16.9176
32,1,1.0000,19.3979
33,2,2.0000,18.6353
34,0,0.0000,20.3592
35,0,0.0000,18.8055
36,0,0.0000,19.3259
37,1,1.0000,15.1230
38,3,3.0000,17.1776
39,0,0.0000,15.1444
