Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,9.2237
1,0,0.0000,9.2237
2,0,0.0000,9.2237
3,0,0.0000,9.2237
4,3,3.0000,9.2237
5,0,0.0000,9.2237
6,0,0.0000,9.2237
7,1,1.0000,9.2237
8,0,0.0000,9.2237
9,2,2.0000,9.2237
10,0,0.0000,9.0510
11,0,0.0000,9.2237
12,3,3.0000,9.2237
13,0,0.0000,9.2237
14,4,4.0000,9.2237
15,1,1.0000,9.2237
16,2,2.0000,9.2237
17,0,0.0000,9.2237
18,3,3.0000,9.2237
19,2,2.0000,9.1565
20,1,1.0000,9.2237
21,3,3.0000,9.2237
22,0,0.0000,9.2237
23,2,2.0000,9.2237
24,0,0.0000,9.2237
25,1,1.0000,9.2237
26,2,2.0000,8.7379
27,0,0.0000,9.2237
28,1,1.0000,9.2237
29,2,2.0000,9.2237
30,4,4.0000,9.0510
31,0,0.0000,8.5263
32,1,1.0000,9.2237
33,2,2.0000,9.1565
34,0,0.0000,9.2237
35,1,1.0000,8.7379
36,3,3.0000,9.2237
37,1,1.0000,8.3692
38,3,3.0000,8.7379
39,4,4.0000,8.1929
