Agent,Plan,LocalCost,ComplexCost
0,4,4.0000,38.6062
1,2,2.0000,40.9045
2,1,1.0000,39.2780
3,1,1.0000,40.6436
4,4,4.0000,40.7265
5,3,3.0000,41.1957
6,2,2.0000,40.9690
7,3,3.0000,39.9317
8,2,2.0000,39.6896
9,0,0.0000,40.6615
10,4,4.0000,41.5383
11,0,0.0000,38.9444
12,4,4.0000,38.5123
13,0,0.0000,38.6075
14,0,0.0000,39.8600
15,1,1.0000,41.5285
16,2,2.0000,38.4219
17,0,0.0000,41.8079
18,3,3.0000,38.7985
19,3,3.0000,38.8695
20,1,1.0000,40.0309
21,3,3.0000,39.5634
22,1,1.0000,40.4749
23,2,2.0000,41.4284
24,0,0.0000,41.8079
25,3,3.0000,41.2188
26,1,1.0000,41.3002
27,2,2.0000,32.7060
28,1,1.0000,39.4494
29,4,4.0000,36.8103
30,4,4.0000,36.3847
31,0,0.0000,30.7329
32,2,2.0000,36.3439
33,2,2.0000,33.3510
34,0,0.0000,38.2868
35,1,1.0000,39.1585
36,2,2.0000,26.1585
37,1,1.0000,24.4519
38,3,3.0000,27.2456
39,4,4.0000,22.1219
