Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,9.6293
1,0,0.0000,9.8314
2,0,0.0000,9.8314
3,0,0.0000,9.8314
4,3,3.0000,9.8314
5,0,0.0000,9.8314
6,0,0.0000,9.8314
7,1,1.0000,9.8314
8,0,0.0000,9.8314
9,2,2.0000,9.8314
10,4,4.0000,9.8314
11,0,0.0000,9.8314
12,3,3.0000,9.8314
13,0,0.0000,9.8314
14,4,4.0000,9.8314
15,1,1.0000,9.8314
16,2,2.0000,9.8314
17,0,0.0000,9.8314
18,3,3.0000,9.8314
19,3,3.0000,9.8314
20,1,1.0000,9.8314
21,3,3.0000,9.8314
22,0,0.0000,9.8314
23,0,0.0000,9.8314
24,0,0.0000,9.8314
25,3,3.0000,9.8314
26,0,0.0000,9.8314
27,0,0.0000,9.6293
28,1,1.0000,9.8314
29,2,2.0000,9.8314
30,4,4.0000,9.8314
31,1,1.0000,9.8314
32,1,1.0000,9.8314
33,2,2.0000,9.8314
34,0,0.0000,9.8314
35,1,1.0000,9.8314
36,3,3.0000,9.6293
37,1,1.0000,9.8314
38,3,3.0000,9.8314
39,4,4.0000,9.6293
