Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,40.1453
1,2,2.0000,44.3101
2,1,1.0000,43.9317
3,2,2.0000,45.1555
4,4,4.0000,44.2670
5,0,0.0000,45.4280
6,0,0.0000,45.4280
7,3,3.0000,44.3719
8,0,0.0000,45.4280
9,4,4.0000,44.8897
10,4,4.0000,41.9355
11,0,0.0000,41.5718
12,4,4.0000,43.9170
13,2,2.0000,44.6403
14,3,3.0000,41.7099
15,0,0.0000,45.4280
16,2,2.0000,43.3383
17,0,0.0000,45.4280
18,2,2.0000,44.0228
19,3,3.0000,42.3826
20,0,0.0000,45.4280
21,1,1.0000,41.5425
22,3,3.0000,41.8814
23,2,2.0000,45.1624
24,0,0.0000,45.4280
25,3,3.0000,45.0853
26,0,0.0000,45.4280
27,1,1.0000,43.7156
28,1,1.0000,43.5036
29,1,1.0000,40.4927
30,4,4.0000,44.7099
31,4,4.0000,44.9582
32,2,2.0000,35.5683
33,1,1.0000,39.9004
34,1,1.0000,44.2670
35,3,3.0000,40.4767
36,2,2.0000,44.8897
37,1,1.0000,36.2504
38,0,0.0000,42.2079
39,0,0.0000,41.7099
40,2,2.0000,43.3383
41,1,1.0000,41.7281
42,3,3.0000,40.9116
43,2,2.0000,38.1778
44,4,4.0000,44.7771
45,4,4.0000,43.6157
46,4,4.0000,38.4254
47,4,4.0000,41.2227
48,4,4.0000,33.2079
49,1,1.0000,38.9468
50,1,1.0000,36.0891
51,3,3.0000,38.7280
52,2,2.0000,39.9853
53,3,3.0000,34.7735
54,0,0.0000,43.6157
55,1,1.0000,33.8718
56,4,4.0000,32.6781
57,4,4.0000,28.8815
58,0,0.0000,32.1376
59,1,1.0000,33.3168
60,0,0.0000,28.8815
61,1,1.0000,31.6932
62,2,2.0000,28.8815
