Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,9.1830
1,1,1.0000,9.1830
2,1,1.0000,9.1830
3,0,0.0000,9.1830
4,1,1.0000,9.1830
5,3,3.0000,9.1830
6,1,1.0000,9.1830
7,1,1.0000,9.1830
8,0,0.0000,9.1830
9,1,1.0000,8.9546
10,0,0.0000,9.1830
11,4,4.0000,9.1830
12,4,4.0000,9.1830
13,2,2.0000,9.1830
14,3,3.0000,9.1830
15,0,0.0000,9.1830
16,2,2.0000,9.1830
17,0,0.0000,9.1830
18,1,1.0000,9.1830
19,2,2.0000,9.1830
20,0,0.0000,9.1830
21,1,1.0000,9.1830
22,1,1.0000,9.1830
23,0,0.0000,9.1830
24,0,0.0000,9.1830
25,0,0.0000,9.1830
26,0,0.0000,9.1830
27,0,0.0000,9.1830
28,2,2.0000,9.1830
29,0,0.0000,9.1830
30,0,0.0000,9.1830
31,2,2.0000,9.1830
32,2,2.0000,9.1830
33,0,0.0000,9.1830
34,1,1.0000,9.1830
35,1,1.0000,9.1830
36,2,2.0000,8.9546
37,3,3.0000,9.1830
38,0,0.0000,9.1830
39,0,0.0000,9.1830
40,0,0.0000,9.1830
41,3,3.0000,9.1830
42,3,3.0000,9.1830
43,2,2.0000,9.1830
44,0,0.0000,9.1830
45,2,2.0000,9.1830
46,0,0.0000,9.1830
47,4,4.0000,9.1830
48,1,1.0000,9.1830
49,0,0.0000,9.1830
50,1,1.0000,8.9546
51,3,3.0000,9.1830
52,4,4.0000,9.1830
53,3,3.0000,9.1830
54,0,0.0000,9.1830
55,1,1.0000,9.1830
56,4,4.0000,9.1830
57,4,4.0000,8.9546
58,3,3.0000,9.1830
59,4,4.0000,9.1830
60,0,0.0000,8.9546
61,1,1.0000,9.1830
62,2,2.0000,8.9546
