Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,9.3578
1,1,1.0000,9.3578
2,1,1.0000,9.3578
3,0,0.0000,9.3578
4,1,1.0000,9.3578
5,3,3.0000,9.3578
6,1,1.0000,9.3532
7,1,1.0000,9.3578
8,0,0.0000,9.3578
9,4,4.0000,9.3578
10,0,0.0000,9.3578
11,4,4.0000,9.3578
12,4,4.0000,9.3578
13,2,2.0000,9.3578
14,0,0.0000,9.3342
15,0,0.0000,9.3578
16,2,2.0000,9.3578
17,0,0.0000,9.3578
18,1,1.0000,9.3578
19,2,2.0000,9.3578
20,0,0.0000,9.3578
21,1,1.0000,9.3578
22,1,1.0000,9.3578
23,0,0.0000,9.3578
24,0,0.0000,9.3578
25,0,0.0000,9.3578
26,0,0.0000,9.3578
27,0,0.0000,9.3578
28,2,2.0000,9.3578
29,0,0.0000,9.3578
30,0,0.0000,9.3578
31,2,2.0000,9.3578
32,2,2.0000,9.3578
33,0,0.0000,9.3578
34,1,1.0000,9.3578
35,1,1.0000,9.3532
36,2,2.0000,9.3578
37,3,3.0000,9.3578
38,0,0.0000,9.3578
39,0,0.0000,9.3342
40,0,0.0000,9.3578
41,3,3.0000,9.1931
42,3,3.0000,9.3578
43,2,2.0000,9.3578
44,0,0.0000,9.3578
45,2,2.0000,9.3578
46,0,0.0000,9.3578
47,4,4.0000,9.3578
48,1,1.0000,9.3578
49,0,0.0000,9.3532
50,1,1.0000,9.3578
51,3,3.0000,9.3342
52,4,4.0000,9.1931
53,3,3.0000,9.3578
54,0,0.0000,9.3578
55,1,1.0000,9.3578
56,4,4.0000,9.3532
57,4,4.0000,9.3342
58,3,3.0000,9.1931
59,4,4.0000,9.3578
60,0,0.0000,9.3342
61,1,1.0000,9.1931
62,2,2.0000,9.1931
