Iteration,Mean,Stdev,Run-0
0,1.0999999999999999,0.0,1.0999999999999999
1,1.445683229480096,0.0,1.445683229480096
2,1.5999999999999999,0.0,1.5999999999999999
3,1.5132745950421558,0.0,1.5132745950421558
4,1.6401219466856725,0.0,1.6401219466856725
5,1.6401219466856725,0.0,1.6401219466856725
6,1.6401219466856725,0.0,1.6401219466856725
7,1.6401219466856725,0.0,1.6401219466856725
8,1.6401219466856725,0.0,1.6401219466856725
9,1.6401219466856725,0.0,1.6401219466856725
10,1.6401219466856725,0.0,1.6401219466856725
11,1.6401219466856725,0.0,1.6401219466856725
12,1.6401219466856725,0.0,1.6401219466856725
13,1.6401219466856725,0.0,1.6401219466856725
14,1.6401219466856725,0.0,1.6401219466856725
15,1.6401219466856725,0.0,1.6401219466856725
16,1.6401219466856725,0.0,1.6401219466856725
17,1.6401219466856725,0.0,1.6401219466856725
18,1.6401219466856725,0.0,1.6401219466856725
19,1.6401219466856725,0.0,1.6401219466856725
20,1.6401219466856725,0.0,1.6401219466856725
21,1.6401219466856725,0.0,1.6401219466856725
22,1.6401219466856725,0.0,1.6401219466856725
23,1.6401219466856725,0.0,1.6401219466856725
24,1.6401219466856725,0.0,1.6401219466856725
25,1.6401219466856725,0.0,1.6401219466856725
26,1.6401219466856725,0.0,1.6401219466856725
27,1.6401219466856725,0.0,1.6401219466856725
28,1.6401219466856725,0.0,1.6401219466856725
29,1.6401219466856725,0.0,1.6401219466856725
30,1.6401219466856725,0.0,1.6401219466856725
31,1.6401219466856725,0.0,1.6401219466856725
32,1.6401219466856725,0.0,1.6401219466856725
33,1.6401219466856725,0.0,1.6401219466856725
34,1.6401219466856725,0.0,1.6401219466856725
35,1.6401219466856725,0.0,1.6401219466856725
36,1.6401219466856725,0.0,1.6401219466856725
37,1.6401219466856725,0.0,1.6401219466856725
38,1.6401219466856725,0.0,1.6401219466856725
39,1.6401219466856725,0.0,1.6401219466856725
