Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9
0,0,0.8564,0.818,0.7367,0.8067,0.9118,1.7536,2.5766,2.7421,4.9036,9.077
0,1,8.9232,7.686,9.077,8.0537,8.3869,8.1655,7.5493,7.7245,7.0378,7.0378
0,2,7.0378,7.0378,6.9251,7.0378,7.0378,7.0378,6.8016,6.7052,6.8016,6.5133
0,3,6.5133,6.5133,6.4082,6.5133,6.5133,5.8541,6.4082,6.5133,5.8541,5.8541
0,4,5.8541,5.8541,5.8541,5.8541,5.6672,5.8541,5.8541,5.6672,5.8541,5.6672
0,5,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,6,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,7,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,8,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,9,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,10,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,11,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,12,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,13,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,14,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,15,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,16,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,17,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,18,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,19,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,20,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,21,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,22,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,23,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,24,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,25,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,26,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,27,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,28,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,29,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,30,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,31,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,32,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,33,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,34,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,35,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,36,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,37,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,38,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
0,39,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672,5.6672
