Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,12.0766
1,0,0.0000,12.2078
2,2,2.0000,12.7308
3,0,0.0000,11.9873
4,8,8.0000,12.3450
5,4,4.0000,12.3459
6,3,3.0000,12.7308
7,1,1.0000,12.6441
8,4,4.0000,12.4703
9,8,8.0000,12.0953
10,8,8.0000,12.0378
11,9,9.0000,12.1686
12,1,1.0000,12.7308
13,1,1.0000,12.7308
14,1,1.0000,12.7308
15,0,0.0000,12.7308
16,0,0.0000,11.7279
17,0,0.0000,11.9873
18,9,9.0000,11.9936
19,5,5.0000,12.3607
20,5,5.0000,11.5865
21,4,4.0000,11.1469
22,3,3.0000,12.7308
23,0,0.0000,12.7308
24,0,0.0000,11.7279
25,9,9.0000,11.9936
26,1,1.0000,11.1469
27,2,2.0000,11.8312
28,2,2.0000,11.4946
29,4,4.0000,10.1655
30,4,4.0000,10.1655
