Agent,Plan,LocalCost,ComplexCost
0,8,8.0000,9.7901
1,2,2.0000,10.1655
2,8,8.0000,9.8968
3,0,0.0000,10.1134
4,7,7.0000,10.1655
5,9,9.0000,8.9116
6,7,7.0000,9.7326
7,8,8.0000,10.1655
8,0,0.0000,10.1655
9,1,1.0000,10.1655
10,3,3.0000,9.0460
11,9,9.0000,10.1655
12,1,1.0000,10.1655
13,1,1.0000,10.1655
14,1,1.0000,10.1655
15,0,0.0000,10.1655
16,4,4.0000,9.4169
17,0,0.0000,9.8968
18,6,6.0000,8.9116
19,4,4.0000,9.7274
20,6,6.0000,9.8905
21,4,4.0000,9.0460
22,3,3.0000,10.1655
23,0,0.0000,10.1655
24,0,0.0000,8.8653
25,1,1.0000,8.5977
26,1,1.0000,9.0460
27,2,2.0000,10.1655
28,2,2.0000,8.5977
29,4,4.0000,9.0460
30,4,4.0000,8.0361
