Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,21.2490
1,6,6.0000,22.7303
2,9,9.0000,20.3285
3,7,7.0000,20.8887
4,5,5.0000,21.5913
5,2,2.0000,20.7617
6,5,5.0000,21.1895
7,3,3.0000,22.6963
8,0,0.0000,22.9758
9,5,5.0000,22.5888
10,0,0.0000,22.9313
11,7,7.0000,22.9746
12,6,6.0000,21.3343
13,4,4.0000,22.1228
14,1,1.0000,22.9758
15,1,1.0000,22.6405
16,9,9.0000,21.4411
17,5,5.0000,21.7743
18,3,3.0000,21.2593
19,6,6.0000,22.0977
20,8,8.0000,21.1393
21,9,9.0000,22.6969
22,0,0.0000,21.3547
23,1,1.0000,21.5787
24,8,8.0000,20.2920
25,2,2.0000,21.8711
26,5,5.0000,21.9690
27,2,2.0000,18.6416
28,6,6.0000,17.8803
29,9,9.0000,20.6471
30,8,8.0000,22.0243
31,2,2.0000,17.3055
32,0,0.0000,20.7287
33,0,0.0000,19.8419
34,5,5.0000,18.8655
35,3,3.0000,17.7083
36,5,5.0000,15.1476
37,8,8.0000,17.0605
38,7,7.0000,16.0068
39,7,7.0000,15.1476
