Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,12.1208
1,2,2.0000,10.9766
2,6,6.0000,11.0905
3,3,3.0000,11.4111
4,8,8.0000,11.8860
5,2,2.0000,12.1208
6,8,8.0000,11.8241
7,9,9.0000,12.1208
8,0,0.0000,12.1208
9,0,0.0000,11.8731
10,4,4.0000,12.1208
11,8,8.0000,12.1208
12,7,7.0000,11.4573
13,4,4.0000,11.7769
14,0,0.0000,11.5475
15,3,3.0000,12.1208
16,7,7.0000,12.1208
17,2,2.0000,12.1208
18,0,0.0000,12.1208
19,3,3.0000,12.0784
20,5,5.0000,12.1208
21,3,3.0000,12.1208
22,0,0.0000,12.1208
23,5,5.0000,11.9772
24,2,2.0000,11.4604
25,9,9.0000,12.1208
26,1,1.0000,12.1208
27,2,2.0000,10.0735
28,6,6.0000,11.0525
29,9,9.0000,11.8241
30,8,8.0000,11.8731
31,8,8.0000,10.2015
32,3,3.0000,12.1208
33,5,5.0000,11.2548
34,2,2.0000,11.3099
35,6,6.0000,11.4604
36,5,5.0000,10.0735
37,8,8.0000,9.9310
38,7,7.0000,10.1893
39,7,7.0000,7.5966
