Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,6.3791
1,5,5.0000,6.3190
2,6,6.0000,6.3791
3,7,7.0000,6.3791
4,5,5.0000,6.3791
5,2,2.0000,6.3791
6,6,6.0000,6.3791
7,9,9.0000,6.3791
8,0,0.0000,6.3791
9,0,0.0000,6.3791
10,4,4.0000,6.3791
11,8,8.0000,6.3791
12,7,7.0000,6.3791
13,4,4.0000,6.3791
14,7,7.0000,6.3791
15,3,3.0000,6.3791
16,7,7.0000,6.3791
17,2,2.0000,6.3791
18,0,0.0000,6.3791
19,4,4.0000,6.3791
20,5,5.0000,6.3791
21,3,3.0000,6.3791
22,0,0.0000,6.3791
23,1,1.0000,6.3791
24,8,8.0000,6.3791
25,9,9.0000,6.3791
26,1,1.0000,6.3791
27,2,2.0000,6.3190
28,6,6.0000,6.3791
29,9,9.0000,6.3791
30,8,8.0000,6.3791
31,8,8.0000,6.3791
32,3,3.0000,6.3791
33,6,6.0000,6.3791
34,5,5.0000,6.3791
35,6,6.0000,6.3791
36,5,5.0000,6.3190
37,1,1.0000,6.3791
38,0,0.0000,6.3791
39,7,7.0000,6.3190
