Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,7.0873
1,2,2.0000,7.0873
2,6,6.0000,7.0873
3,7,7.0000,7.0873
4,5,5.0000,7.0873
5,2,2.0000,7.0873
6,6,6.0000,7.0873
7,9,9.0000,7.0873
8,0,0.0000,7.0873
9,0,0.0000,7.0873
10,4,4.0000,7.0873
11,8,8.0000,7.0873
12,7,7.0000,7.0873
13,4,4.0000,7.0873
14,7,7.0000,7.0873
15,3,3.0000,7.0873
16,7,7.0000,7.0873
17,2,2.0000,7.0873
18,0,0.0000,7.0873
19,4,4.0000,6.6322
20,5,5.0000,7.0873
21,3,3.0000,7.0873
22,0,0.0000,7.0873
23,1,1.0000,7.0873
24,8,8.0000,7.0873
25,9,9.0000,7.0873
26,1,1.0000,7.0873
27,2,2.0000,7.0873
28,6,6.0000,7.0873
29,9,9.0000,7.0873
30,8,8.0000,7.0873
31,8,8.0000,7.0873
32,3,3.0000,7.0873
33,6,6.0000,6.6322
34,5,5.0000,7.0873
35,6,6.0000,7.0873
36,5,5.0000,7.0873
37,8,8.0000,7.0873
38,0,0.0000,6.6322
39,7,7.0000,6.6322
