Agent,Plan,LocalCost,ComplexCost
0,2,2.0000,7.0873
1,2,2.0000,7.1191
2,6,6.0000,7.1191
3,7,7.0000,7.1191
4,5,5.0000,7.1191
5,2,2.0000,7.1191
6,6,6.0000,7.1191
7,9,9.0000,7.1191
8,0,0.0000,7.1191
9,0,0.0000,7.1191
10,4,4.0000,7.1191
11,8,8.0000,7.1191
12,7,7.0000,7.1191
13,4,4.0000,7.1191
14,7,7.0000,7.1191
15,3,3.0000,7.1191
16,7,7.0000,7.1191
17,2,2.0000,7.1191
18,0,0.0000,7.1191
19,5,5.0000,7.1191
20,5,5.0000,7.1191
21,3,3.0000,7.1191
22,0,0.0000,7.1191
23,1,1.0000,7.1191
24,8,8.0000,7.1191
25,9,9.0000,7.1191
26,1,1.0000,7.1191
27,2,2.0000,7.0873
28,6,6.0000,7.1191
29,9,9.0000,7.1191
30,8,8.0000,7.1191
31,8,8.0000,7.1191
32,3,3.0000,7.1191
33,6,6.0000,7.1191
34,5,5.0000,7.1191
35,6,6.0000,7.1191
36,5,5.0000,7.0873
37,8,8.0000,7.1191
38,0,0.0000,7.1191
39,7,7.0000,7.0873
