Agent,Plan,LocalCost,ComplexCost
0,1,1.0000,7.3567
1,2,2.0000,7.5966
2,6,6.0000,7.5966
3,7,7.0000,7.5966
4,5,5.0000,7.5966
5,2,2.0000,7.5966
6,6,6.0000,7.5966
7,9,9.0000,7.5966
8,0,0.0000,7.5966
9,6,6.0000,7.1943
10,4,4.0000,7.5966
11,8,8.0000,7.5966
12,7,7.0000,7.5966
13,4,4.0000,7.5966
14,7,7.0000,7.1191
15,3,3.0000,7.5966
16,7,7.0000,7.5966
17,2,2.0000,7.5966
18,0,0.0000,7.5966
19,5,5.0000,7.5966
20,5,5.0000,7.5966
21,3,3.0000,7.5966
22,0,0.0000,7.5966
23,0,0.0000,7.5278
24,8,8.0000,7.5966
25,9,9.0000,7.5966
26,1,1.0000,7.5966
27,2,2.0000,7.3567
28,6,6.0000,7.5966
29,9,9.0000,7.5966
30,8,8.0000,7.1943
31,8,8.0000,7.1191
32,3,3.0000,7.5966
33,6,6.0000,7.5966
34,5,5.0000,7.5278
35,6,6.0000,7.5966
36,5,5.0000,7.3567
37,8,8.0000,7.1191
38,0,0.0000,7.5278
39,7,7.0000,7.1191
