Agent,Plan,LocalCost,ComplexCost
0,3,3.0000,15.1476
1,2,2.0000,14.4897
2,9,9.0000,15.1476
3,7,7.0000,15.1476
4,8,8.0000,14.1784
5,5,5.0000,14.5952
6,7,7.0000,13.9497
7,9,9.0000,15.1476
8,4,4.0000,14.7887
9,1,1.0000,15.1476
10,4,4.0000,15.1476
11,8,8.0000,15.1476
12,2,2.0000,14.5550
13,4,4.0000,14.4722
14,5,5.0000,15.0226
15,7,7.0000,14.2838
16,9,9.0000,14.3813
17,2,2.0000,15.1476
18,7,7.0000,15.0099
19,5,5.0000,15.1476
20,7,7.0000,14.6957
21,3,3.0000,15.1476
22,0,0.0000,14.1350
23,1,1.0000,13.6697
24,8,8.0000,14.5063
25,9,9.0000,15.1476
26,8,8.0000,14.7280
27,4,4.0000,14.0697
28,6,6.0000,14.1784
29,4,4.0000,12.9629
30,8,8.0000,15.1476
31,2,2.0000,13.3254
32,3,3.0000,13.9218
33,6,6.0000,14.6957
34,5,5.0000,12.4087
35,6,6.0000,13.9309
36,5,5.0000,12.1483
37,8,8.0000,13.3254
38,0,0.0000,12.1208
39,7,7.0000,12.1208
