Agent,Plan,LocalCost,ComplexCost
0,9,9.0000,0.7224
1,0,0.0000,0.8180
2,2,2.0000,0.7367
3,5,5.0000,0.7586
4,8,8.0000,0.8244
5,7,7.0000,0.9414
6,6,6.0000,0.7377
7,9,9.0000,0.8507
8,0,0.0000,0.8521
9,1,1.0000,0.8257
10,4,4.0000,0.7518
11,8,8.0000,0.6726
12,8,8.0000,0.7528
13,1,1.0000,0.6713
14,1,1.0000,0.7310
15,3,3.0000,0.7460
16,7,7.0000,0.7413
17,2,2.0000,0.7212
18,0,0.0000,0.8965
19,5,5.0000,0.8106
20,5,5.0000,0.8593
21,3,3.0000,0.8565
22,7,7.0000,0.8119
23,7,7.0000,0.7676
24,5,5.0000,0.7929
25,9,9.0000,0.7182
26,1,1.0000,0.6589
27,6,6.0000,2.3537
28,8,8.0000,3.4884
29,9,9.0000,2.5789
30,8,8.0000,2.2731
31,4,4.0000,2.6275
32,3,3.0000,3.0951
33,6,6.0000,3.2140
34,0,0.0000,2.7247
35,2,2.0000,2.8703
36,5,5.0000,7.5733
37,8,8.0000,7.3302
38,0,0.0000,9.3520
39,7,7.0000,22.9758
